"t (s)","Inclination (deg)","Rotation (deg)"
8.474863900E-1,2.975650719E1,-8.585031877E0
1.347820830E0,2.972455483E1,-5.782003581E0
1.848156728E0,2.972787483E1,-5.452993542E0
2.348492395E0,2.973161617E1,-5.401414402E0
2.848831126E0,2.975503750E1,-5.395076908E0
3.349163554E0,2.975521999E1,-5.346213110E0
3.849300314E0,2.972098302E1,-5.622567363E0
4.349635378E0,2.971158146E1,-5.681782592E0
4.849973604E0,2.971135411E1,-5.701623176E0
4.849973604E0,2.971135411E1,-5.701623176E0
5.770306752E0,2.979093883E1,-1.507742174E0
6.270631702E0,2.978457440E1,-2.209405691E0
6.770966209E0,2.978749655E1,-2.346959902E0
7.271302334E0,2.978378955E1,-2.382338083E0
7.771638688E0,2.978882850E1,-2.343242127E0
8.271980731E0,2.978630736E1,-2.319546039E0
8.773714648E0,2.978116959E1,-2.290165053E0
9.274076295E0,2.978608142E1,-2.192538076E0
9.774387078E0,2.977046941E1,-2.186583120E0
9.774387078E0,2.977046941E1,-2.186583120E0
1.086014666E1,2.977632157E1,-4.922933535E0
1.136048202E1,2.978069858E1,-4.962623374E0
1.186081862E1,2.977520894E1,-4.943566649E0
1.236115325E1,2.978000949E1,-4.920196551E0
1.286148938E1,2.977411816E1,-4.917103799E0
1.336182551E1,2.978215557E1,-4.906982179E0
1.386232056E1,2.977842716E1,-4.888424847E0
1.436266806E1,2.978575867E1,-4.810470313E0
1.486299412E1,2.979099404E1,-4.816398170E0
