"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.474863900E-1,2.947913436E1,-4.877879785E0
1.347820830E0,2.959888203E1,-3.292053620E0
1.848156728E0,2.961609456E1,-3.106104513E0
2.348492395E0,2.962193279E1,-3.077334037E0
2.848831126E0,2.964555853E1,-3.076653690E0
3.349163554E0,2.964771544E1,-3.048944548E0
3.849300314E0,2.960215677E1,-3.201300748E0
4.349635378E0,2.959026178E1,-3.233604816E0
4.849973604E0,2.958918591E1,-3.244805365E0
4.849973604E0,2.958918591E1,-3.244805365E0
5.770306752E0,2.978238484E1,-8.630105705E-1
6.270631702E0,2.976620805E1,-1.264030277E0
6.770966209E0,2.976677069E1,-1.342814968E0
7.271302334E0,2.976243571E1,-1.362833009E0
7.771638688E0,2.976816769E1,-1.340762066E0
8.271980731E0,2.976606337E1,-1.327080499E0
8.773714648E0,2.976143732E1,-1.310013264E0
9.274076295E0,2.976799389E1,-1.254464420E0
9.774387078E0,2.975248577E1,-1.250269713E0
9.774387078E0,2.975248577E1,-1.250269713E0
1.086014666E1,2.968513136E1,-2.810967609E0
1.136048202E1,2.968802326E1,-2.834038500E0
1.186081862E1,2.968325460E1,-2.822573888E0
1.236115325E1,2.968891376E1,-2.809830008E0
1.286148938E1,2.968314798E1,-2.807402275E0
1.336182551E1,2.969154465E1,-2.802557141E0
1.386232056E1,2.968850738E1,-2.791580148E0
1.436266806E1,2.969867155E1,-2.748051886E0
1.486299412E1,2.970368270E1,-2.752007372E0
