"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.474863900E-1,9.858503187E1,9.487787978E1
1.347820830E0,9.578200358E1,9.329205361E1
1.848156728E0,9.545299354E1,9.310610451E1
2.348492395E0,9.540141440E1,9.307733403E1
2.848831126E0,9.539507690E1,9.307665369E1
3.349163554E0,9.534621311E1,9.304894454E1
3.849300314E0,9.562256736E1,9.320130074E1
4.349635378E0,9.568178259E1,9.323360481E1
4.849973604E0,9.570162317E1,9.324480536E1
4.849973604E0,9.570162317E1,9.324480536E1
5.770306752E0,9.150774217E1,9.086301057E1
6.270631702E0,9.220940569E1,9.126403027E1
6.770966209E0,9.234695990E1,9.134281496E1
7.271302334E0,9.238233808E1,9.136283300E1
7.771638688E0,9.234324212E1,9.134076206E1
8.271980731E0,9.231954603E1,9.132708049E1
8.773714648E0,9.229016505E1,9.131001326E1
9.274076295E0,9.219253807E1,9.125446442E1
9.774387078E0,9.218658311E1,9.125026971E1
9.774387078E0,9.218658311E1,9.125026971E1
1.086014666E1,9.492293353E1,9.281096760E1
1.136048202E1,9.496262337E1,9.283403850E1
1.186081862E1,9.494356664E1,9.282257388E1
1.236115325E1,9.492019655E1,9.280983000E1
1.286148938E1,9.491710379E1,9.280740227E1
1.336182551E1,9.490698217E1,9.280255714E1
1.386232056E1,9.488842484E1,9.279158014E1
1.436266806E1,9.481047031E1,9.274805188E1
1.486299412E1,9.481639817E1,9.275200737E1
