"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.474863900E-1,6.052086563E1,-8.585031877E0
1.347820830E0,6.040111796E1,-5.782003581E0
1.848156728E0,6.038390543E1,-5.452993542E0
2.348492395E0,6.037806721E1,-5.401414402E0
2.848831126E0,6.035444147E1,-5.395076908E0
3.349163554E0,6.035228456E1,-5.346213110E0
3.849300314E0,6.039784323E1,-5.622567363E0
4.349635378E0,6.040973822E1,-5.681782592E0
4.849973604E0,6.041081409E1,-5.701623176E0
4.849973604E0,6.041081409E1,-5.701623176E0
5.770306752E0,6.021761516E1,-1.507742174E0
6.270631702E0,6.023379195E1,-2.209405691E0
6.770966209E0,6.023322930E1,-2.346959902E0
7.271302334E0,6.023756428E1,-2.382338083E0
7.771638688E0,6.023183231E1,-2.343242127E0
8.271980731E0,6.023393662E1,-2.319546039E0
8.773714648E0,6.023856267E1,-2.290165053E0
9.274076295E0,6.023200610E1,-2.192538076E0
9.774387078E0,6.024751422E1,-2.186583120E0
9.774387078E0,6.024751422E1,-2.186583120E0
1.086014666E1,6.031486864E1,-4.922933535E0
1.136048202E1,6.031197673E1,-4.962623374E0
1.186081862E1,6.031674539E1,-4.943566649E0
1.236115325E1,6.031108623E1,-4.920196551E0
1.286148938E1,6.031685202E1,-4.917103799E0
1.336182551E1,6.030845535E1,-4.906982179E0
1.386232056E1,6.031149262E1,-4.888424847E0
1.436266806E1,6.030132844E1,-4.810470313E0
1.486299412E1,6.029631729E1,-4.816398170E0
