"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.948736140E-1,7.025802353E1,-2.903526589E0
1.395210197E0,7.026596419E1,-2.912751281E0
1.895545572E0,7.025483308E1,-2.986923800E0
2.395880947E0,7.025170871E1,-2.933029274E0
2.896217058E0,7.025668209E1,-2.932115032E0
3.396552168E0,7.025621919E1,-2.985188465E0
3.896981121E0,7.025211188E1,-2.900082143E0
4.397320768E0,7.024832063E1,-2.891170318E0
4.897653050E0,7.024873721E1,-2.929435919E0
5.397986561E0,7.024611761E1,-2.886639595E0
5.898322003E0,7.023472387E1,-2.887451646E0
6.398656680E0,7.024822342E1,-2.908816969E0
6.898999454E0,7.024016791E1,-2.905424195E0
7.399329534E0,7.026277302E1,-2.997059148E0
7.399329534E0,7.026277302E1,-2.997059148E0
8.438773331E0,7.019864754E1,-3.406402403E0
8.939109242E0,7.017670204E1,-3.101227877E0
9.439443820E0,7.017792706E1,-3.041991920E0
9.939780524E0,7.017185315E1,-3.018771013E0
1.044011370E1,7.016786140E1,-2.960536038E0
1.094045794E1,7.015581413E1,-2.844183317E0
1.144083175E1,7.014289280E1,-2.771971971E0
1.194116709E1,7.015281648E1,-2.792282120E0
1.244150112E1,7.015529499E1,-2.828304359E0
1.294183650E1,7.016702777E1,-2.829414317E0
1.344217524E1,7.013870341E1,-2.808761476E0
1.394250755E1,7.015623867E1,-2.796684676E0
1.444284382E1,7.014449699E1,-2.794535018E0
1.494317896E1,7.014279225E1,-2.807200914E0
1.544352330E1,7.013957532E1,-2.777398000E0
1.594384981E1,7.014537290E1,-2.792738664E0
1.644418585E1,7.014122323E1,-2.762102171E0
1.644418585E1,7.014122323E1,-2.762102171E0
1.738214354E1,7.014524131E1,-1.499535797E0
1.788247888E1,7.012590764E1,-1.514117098E0
1.838282263E1,7.013159128E1,-1.522372679E0
1.888314838E1,7.012767670E1,-1.518697999E0
1.938349652E1,7.012364913E1,-1.536536019E0
1.988390406E1,7.013029841E1,-1.541546733E0
2.038424824E1,7.011694914E1,-1.650583908E0
2.088457530E1,7.013251799E1,-1.646789067E0
2.138491628E1,7.011992350E1,-1.660598854E0
2.188525132E1,7.011578116E1,-1.651741690E0
2.238558140E1,7.013737670E1,-1.737397180E0
2.288591752E1,7.012951461E1,-1.728407529E0
2.338625210E1,7.011083584E1,-1.672506606E0
2.388658738E1,7.012202403E1,-1.688129359E0
2.438692459E1,7.011968901E1,-1.698967697E0
2.488725945E1,7.011204914E1,-1.648728758E0
2.538759613E1,7.011812106E1,-1.653147439E0
2.588793086E1,7.011777968E1,-1.668560684E0
2.638826650E1,7.011222000E1,-1.641094630E0
2.688860208E1,7.013138438E1,-1.677916518E0
2.688860208E1,7.013138438E1,-1.677916518E0
2.774877716E1,7.010348536E1,-9.500394701E-1
2.824911647E1,7.008338283E1,-9.649164434E-1
2.874945228E1,7.009897335E1,-8.502249880E-1
2.924978942E1,7.010490009E1,-8.650571851E-1
2.975012524E1,7.010021635E1,-8.857330428E-1
3.025092373E1,7.009931398E1,-9.509980383E-1
3.075126907E1,7.010337635E1,-9.275093567E-1
3.125160155E1,7.011369326E1,-9.832706283E-1
3.175193013E1,7.011079575E1,-9.438319113E-1
3.225226931E1,7.011654312E1,-9.277911452E-1
3.275260236E1,7.008504166E1,-8.615307110E-1
3.325293714E1,7.008960340E1,-8.005141769E-1
3.375327333E1,7.007241399E1,-6.067689984E-1
3.425361341E1,7.005348594E1,-5.706009771E-1
3.475394362E1,7.006551442E1,-5.711796916E-1
3.475394362E1,7.006551442E1,-5.711796916E-1
3.475394362E1,7.006551442E1,-5.711796916E-1
3.596944705E1,7.006994081E1,-6.093419935E-1
3.646978396E1,7.011905936E1,-5.148525002E-1
3.697012473E1,7.014518746E1,-5.501783584E-1
3.747046188E1,7.013651089E1,-4.867695542E-1
3.797078908E1,7.012170444E1,-2.551296647E-1
3.847113092E1,7.013072718E1,-2.585641197E-1
3.897195620E1,7.013613731E1,-2.745597156E-1
3.947229417E1,7.010475917E1,-2.168592574E-1
3.997261935E1,7.010128155E1,-1.699199334E-1
4.047295368E1,7.007947419E1,-1.896093140E-1
4.097328922E1,7.008028580E1,-1.551446782E-1
4.147362546E1,7.007190962E1,-1.630861710E-1
4.197397057E1,7.006963643E1,-1.742004566E-1
4.247429745E1,7.008085889E1,-1.627880973E-1
4.297463752E1,7.010096729E1,-1.949390921E-1
4.347496883E1,7.011738059E1,-2.683309440E-1
4.397530737E1,7.011455206E1,-1.674981328E-1
4.447563885E1,7.011215847E1,-1.452466230E-1
4.497598138E1,7.010375588E1,-2.013810139E-1
4.497598138E1,7.010375588E1,-2.013810139E-1
4.497598138E1,7.010375588E1,-2.013810139E-1
4.617858987E1,7.009486157E1,-1.451141849E0
4.667892275E1,7.008054692E1,-1.233944894E0
4.717925548E1,7.008792023E1,-1.261989486E0
4.767959119E1,7.008415530E1,-1.251767051E0
4.817992550E1,7.007807045E1,-1.223722220E0
4.868026164E1,7.007223327E1,-1.250442052E0
4.918109296E1,7.007555132E1,-1.198518465E0
4.968143239E1,7.007298281E1,-1.234696530E0
5.018177057E1,7.008328123E1,-1.198689994E0
5.068209984E1,7.007633253E1,-1.212447337E0
5.118243554E1,7.007809868E1,-1.200944913E0
5.168277195E1,7.007712760E1,-1.165700268E0
5.218311346E1,7.006219844E1,-1.190229403E0
5.268344287E1,7.005942935E1,-1.220860877E0
