"t (s)","Inclination (deg)","Rotation (deg)"
2.445105590E1,3.415922556E1,-3.618907316E-1
2.495138550E1,3.415785993E1,-3.966266070E-1
2.545172524E1,3.408827306E1,-2.521884921E-1
2.595206575E1,3.412488088E1,-2.018670038E-1
2.645239369E1,3.410311751E1,-1.874187804E-1
2.695272566E1,3.409981080E1,-2.149529837E-1
2.745306337E1,3.408133835E1,-2.312152770E-1
2.795339725E1,3.410607856E1,-2.039399678E-1
2.845373752E1,3.409117413E1,-2.072258641E-1
2.895407179E1,3.406007712E1,-2.200295701E-1
2.945440410E1,3.406802927E1,-2.464844700E-1
2.995474201E1,3.408469068E1,-1.428283696E-1
3.045507752E1,3.409394500E1,-4.448061154E-2
3.095541162E1,3.408333604E1,-5.226610962E-2
3.145592541E1,3.408924295E1,-2.342833863E-1
3.195625569E1,3.408648730E1,4.279185392E-2
3.245659237E1,3.411495000E1,1.566634228E-1
3.295692614E1,3.412422962E1,1.692894870E-1
3.295692614E1,3.412422962E1,1.692894870E-1
3.394090082E1,3.400773146E1,-1.027543386E-1
3.444123874E1,3.402665745E1,-2.136005437E-1
3.494157535E1,3.407513400E1,-2.387588208E-1
3.544192369E1,3.401771567E1,-2.260809282E-1
3.594225094E1,3.406570896E1,-3.931693426E-1
3.644295488E1,3.407476479E1,-4.090384222E-1
3.694329719E1,3.406554855E1,-3.907333543E-1
3.744362634E1,3.402821777E1,-2.521091085E-1
3.794396258E1,3.408254739E1,-3.676311303E-1
3.844429970E1,3.408734086E1,-5.686195007E-1
3.894463371E1,3.404737905E1,-4.090651848E-1
3.944497228E1,3.402045284E1,-3.019122036E-1
3.994530957E1,3.404175983E1,-3.377126915E-1
4.044563961E1,3.402805501E1,-3.160687645E-1
4.094597620E1,3.399103950E1,-2.409357085E-1
4.144631488E1,3.399068515E1,-2.275215846E-1
4.194664792E1,3.401307235E1,-2.289287040E-1
4.244698266E1,3.399670621E1,-2.394391263E-1
4.294732461E1,3.399803035E1,-2.478311359E-1
4.344765375E1,3.398229863E1,-2.244068774E-1
4.394807926E1,3.399853859E1,-2.267874028E-1
4.394807926E1,3.399853859E1,-2.267874028E-1
4.508290088E1,3.408651774E1,-7.857582001E-1
4.558323479E1,3.401919198E1,-8.771918653E-1
4.608357130E1,3.399357857E1,-9.068314777E-1
4.658391515E1,3.401571689E1,-8.906855058E-1
4.708424272E1,3.400752403E1,-8.983949639E-1
4.758458379E1,3.400851483E1,-9.203548634E-1
4.808534914E1,3.398344199E1,-9.262322809E-1
4.858568658E1,3.400922659E1,-9.317784933E-1
4.908602255E1,3.399087295E1,-9.603384294E-1
4.958636329E1,3.400844201E1,-8.957012741E-1
5.008670283E1,3.402581641E1,-8.579180008E-1
5.058702901E1,3.402987192E1,-8.422181223E-1
5.108736825E1,3.402197339E1,-8.417335341E-1
5.158770089E1,3.401487467E1,-8.562909047E-1
5.208804620E1,3.401209126E1,-8.594111634E-1
5.258837227E1,3.401263725E1,-8.594485610E-1
5.308870712E1,3.402384798E1,-8.580202314E-1
5.358904385E1,3.407153987E1,-7.814572709E-1
5.408937630E1,3.409167219E1,-7.562940348E-1
5.458971140E1,3.411285796E1,-7.372567815E-1
5.509004372E1,3.410676153E1,-7.380536263E-1
