"t (s)","Inclination (deg)","Rotation (deg)"
8.698128570E-1,3.431196193E1,-3.089514947E-1
1.370143569E0,3.433533775E1,-3.006034299E-1
1.870477849E0,3.431871706E1,-2.957702748E-1
2.370810496E0,3.433231033E1,-3.000957809E-1
2.871146542E0,3.434111855E1,-2.979501525E-1
3.371488127E0,3.432170281E1,-2.925421515E-1
3.872364470E0,3.431593067E1,-2.972420463E-1
4.372707018E0,3.432884583E1,-3.023413978E-1
4.873036806E0,3.434700214E1,-2.991231893E-1
5.373372028E0,3.432370594E1,-2.891378374E-1
5.873718912E0,3.433446352E1,-2.764546932E-1
6.374057125E0,3.432980132E1,-2.827679376E-1
6.874386605E0,3.432207343E1,-2.945404105E-1
7.374715856E0,3.432480691E1,-3.102678072E-1
7.875053733E0,3.429802266E1,-3.000959810E-1
8.375386815E0,3.430757292E1,-2.876182408E-1
8.875723463E0,3.433306833E1,-2.952476333E-1
9.376065510E0,3.432438072E1,-2.775894874E-1
9.876393090E0,3.435415981E1,-2.829964234E-1
1.037672904E1,3.433060321E1,-2.750842824E-1
1.037672904E1,3.433060321E1,-2.750842824E-1
1.148362174E1,3.419984468E1,-3.697233421E-1
1.198396875E1,3.419000082E1,-3.532185943E-1
1.248429297E1,3.421330527E1,-3.501987216E-1
1.298463295E1,3.420857693E1,-3.624088972E-1
1.348496491E1,3.421175070E1,-3.503017836E-1
1.398530578E1,3.423379695E1,-3.378537790E-1
1.448605970E1,3.421051327E1,-3.062361247E-1
1.498638968E1,3.419077100E1,-1.977283206E-1
1.548672268E1,3.419399866E1,-2.699028531E-1
1.598707736E1,3.420096117E1,-2.576425258E-1
1.648739907E1,3.419903591E1,-2.654597750E-1
1.698773285E1,3.418500093E1,-2.824010299E-1
1.748806634E1,3.418299726E1,-3.085765274E-1
1.798840258E1,3.418759625E1,-2.526787445E-1
1.848873708E1,3.418512531E1,-3.080128918E-1
1.898907369E1,3.417914842E1,-3.194614572E-1
1.948940848E1,3.417723763E1,-3.389254531E-1
1.998974415E1,3.419016764E1,-3.054667376E-1
2.049007977E1,3.417360746E1,-3.133437070E-1
2.099041472E1,3.417176878E1,-3.486560497E-1
2.099041472E1,3.417176878E1,-3.486560497E-1
2.194905184E1,3.416841252E1,-6.343769148E-1
2.244938111E1,3.414355825E1,-4.021351583E-1
2.294972755E1,3.415596621E1,-3.784720492E-1
2.345005563E1,3.416797937E1,-3.766079239E-1
2.395040021E1,3.417973440E1,-3.660649232E-1
