"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.698128570E-1,9.030895149E1,9.021084497E1
1.370143569E0,9.030060343E1,9.020532772E1
1.870477849E0,9.029577027E1,9.020190068E1
2.370810496E0,9.030009578E1,9.020495772E1
2.871146542E0,9.029795015E1,9.020355951E1
3.371488127E0,9.029254215E1,9.019971946E1
3.872364470E0,9.029724204E1,9.020288414E1
4.372707018E0,9.030234139E1,9.020646458E1
4.873036806E0,9.029912318E1,9.020440597E1
5.373372028E0,9.028913783E1,9.019741018E1
5.873718912E0,9.027645469E1,9.018882695E1
6.374057125E0,9.028276793E1,9.019310528E1
6.874386605E0,9.029454041E1,9.020108645E1
7.374715856E0,9.031026780E1,9.021184525E1
7.875053733E0,9.030009598E1,9.020469461E1
8.375386815E0,9.028761824E1,9.019625397E1
8.875723463E0,9.029524763E1,9.020165235E1
9.376065510E0,9.027758948E1,9.018953041E1
9.876393090E0,9.028299642E1,9.019343779E1
1.037672904E1,9.027508428E1,9.018786375E1
1.037672904E1,9.027508428E1,9.018786375E1
1.148362174E1,9.036972334E1,9.025125890E1
1.198396875E1,9.035321859E1,9.023995408E1
1.248429297E1,9.035019872E1,9.023811085E1
1.298463295E1,9.036240889E1,9.024636898E1
1.348496491E1,9.035030178E1,9.023816702E1
1.398530578E1,9.033785377E1,9.022989407E1
1.448605970E1,9.030623612E1,9.020819810E1
1.498638968E1,9.019772832E1,9.013432896E1
1.548672268E1,9.026990285E1,9.018338316E1
1.598707736E1,9.025764252E1,9.017509886E1
1.648739907E1,9.026545977E1,9.018039850E1
1.698773285E1,9.028240103E1,9.019180999E1
1.748806634E1,9.030857652E1,9.020957260E1
1.798840258E1,9.025267874E1,9.017163927E1
1.848873708E1,9.030801289E1,9.020920653E1
1.898907369E1,9.031946145E1,9.021693370E1
1.948940848E1,9.033892545E1,9.023013413E1
1.998974415E1,9.030546673E1,9.020751646E1
2.049007977E1,9.031334370E1,9.021273519E1
2.099041472E1,9.034865604E1,9.023669254E1
2.099041472E1,9.034865604E1,9.023669254E1
2.194905184E1,9.063437691E1,9.043059413E1
2.244938111E1,9.040213515E1,9.027270775E1
2.294972755E1,9.037847204E1,9.025678076E1
2.345005563E1,9.037660792E1,9.025563137E1
2.395040021E1,9.036606492E1,9.024858498E1
2.445105590E1,9.036189073E1,9.024556124E1
2.495138550E1,9.039662660E1,9.026911680E1
2.545172524E1,9.025218849E1,9.017066812E1
2.595206575E1,9.020186700E1,9.013680157E1
2.645239369E1,9.018741878E1,9.012690649E1
2.695272566E1,9.021495298E1,9.014553242E1
2.745306337E1,9.023121527E1,9.015643389E1
2.795339725E1,9.020393996E1,9.013810873E1
2.845373752E1,9.020722586E1,9.014025532E1
2.895407179E1,9.022002957E1,9.014874703E1
2.945440410E1,9.024648447E1,9.016668104E1
2.995474201E1,9.014282836E1,9.009664623E1
3.045507752E1,9.004448061E1,9.003010877E1
3.095541162E1,9.005226610E1,9.003536464E1
3.145592541E1,9.023428338E1,9.015855679E1
3.195625569E1,8.995720814E1,8.997104245E1
3.245659237E1,8.984333657E1,8.989387151E1
3.295692614E1,8.983071051E1,8.988527828E1
3.295692614E1,8.983071051E1,8.988527828E1
3.394090082E1,9.010275433E1,9.006932878E1
3.444123874E1,9.021360054E1,9.014421938E1
3.494157535E1,9.023875882E1,9.016149990E1
3.544192369E1,9.022608092E1,9.015259448E1
3.594225094E1,9.039316934E1,9.026584862E1
3.644295488E1,9.040903842E1,9.027667267E1
3.694329719E1,9.039073335E1,9.026419994E1
3.744362634E1,9.025210910E1,9.017022940E1
3.794396258E1,9.036763113E1,9.024873843E1
3.844429970E1,9.056861950E1,9.038478904E1
3.894463371E1,9.040906518E1,9.027640589E1
3.944497228E1,9.030191220E1,9.020379739E1
3.994530957E1,9.033771269E1,9.022814586E1
4.044563961E1,9.031606876E1,9.021341425E1
4.094597620E1,9.024093570E1,9.016245745E1
4.144631488E1,9.022752158E1,9.015341066E1
4.194664792E1,9.022892870E1,9.015448958E1
4.244698266E1,9.023943912E1,9.016148280E1
4.294732461E1,9.024783113E1,9.016715082E1
4.344765375E1,9.022440687E1,9.015126276E1
4.394807926E1,9.022678740E1,9.015296085E1
4.394807926E1,9.022678740E1,9.015296085E1
4.508290088E1,9.078575820E1,9.053169675E1
4.558323479E1,9.087719186E1,9.059205678E1
4.608357130E1,9.090683147E1,9.061146894E1
4.658391515E1,9.089068550E1,9.060108424E1
4.708424272E1,9.089839496E1,9.060609927E1
4.758458379E1,9.092035486E1,9.062093520E1
4.808534914E1,9.092623228E1,9.062431028E1
4.858568658E1,9.093177849E1,9.062865792E1
4.908602255E1,9.096033842E1,9.064747601E1
4.958636329E1,9.089570127E1,9.060430314E1
5.008670283E1,9.085791800E1,9.057919422E1
5.058702901E1,9.084221812E1,9.056868324E1
5.108736825E1,9.084173353E1,9.056818717E1
5.158770089E1,9.085629090E1,9.057785790E1
5.208804620E1,9.085941116E1,9.057990251E1
5.258837227E1,9.085944856E1,9.057993966E1
5.308870712E1,9.085802023E1,9.057922032E1
5.358904385E1,9.078145727E1,9.052848906E1
5.408937630E1,9.075629403E1,9.051186077E1
5.458971140E1,9.073725678E1,9.049937527E1
5.509004372E1,9.073805362E1,9.049980040E1
