"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.698128570E-1,5.568842590E1,-3.089514947E-1
1.370143569E0,5.566502952E1,-3.006034299E-1
1.870477849E0,5.568163841E1,-2.957702748E-1
2.370810496E0,5.566805569E1,-3.000957809E-1
2.871146542E0,5.565924229E1,-2.979501525E-1
3.371488127E0,5.567864496E1,-2.925421515E-1
3.872364470E0,5.568442833E1,-2.972420463E-1
4.372707018E0,5.567152567E1,-3.023413978E-1
4.873036806E0,5.565336158E1,-2.991231893E-1
5.373372028E0,5.567663380E1,-2.891378374E-1
5.873718912E0,5.566584711E1,-2.764546932E-1
6.374057125E0,5.567052364E1,-2.827679376E-1
6.874386605E0,5.567827911E1,-2.945404105E-1
7.374715856E0,5.567558430E1,-3.102678072E-1
7.875053733E0,5.570234318E1,-3.000959810E-1
8.375386815E0,5.569276317E1,-2.876182408E-1
8.875723463E0,5.566728596E1,-2.952476333E-1
9.376065510E0,5.567593242E1,-2.775894874E-1
9.876393090E0,5.564616578E1,-2.829964234E-1
1.037672904E1,5.566970433E1,-2.750842824E-1
1.037672904E1,5.566970433E1,-2.750842824E-1
1.148362174E1,5.580070988E1,-3.697233421E-1
1.198396875E1,5.581050526E1,-3.532185943E-1
1.248429297E1,5.578719235E1,-3.501987216E-1
1.298463295E1,5.579195596E1,-3.624088972E-1
1.348496491E1,5.578874720E1,-3.503017836E-1
1.398530578E1,5.576666634E1,-3.378537790E-1
1.448605970E1,5.578986724E1,-3.062361247E-1
1.498638968E1,5.580938759E1,-1.977283206E-1
1.548672268E1,5.580629685E1,-2.699028531E-1
1.598707736E1,5.579930812E1,-2.576425258E-1
1.648739907E1,5.580124996E1,-2.654597750E-1
1.698773285E1,5.581532254E1,-2.824010299E-1
1.748806634E1,5.581738894E1,-3.085765274E-1
1.798840258E1,5.581266272E1,-2.526787445E-1
1.848873708E1,5.581525949E1,-3.080128918E-1
1.898907369E1,5.582126548E1,-3.194614572E-1
1.948940848E1,5.582322824E1,-3.389254531E-1
1.998974415E1,5.581021086E1,-3.054667376E-1
2.049007977E1,5.582679071E1,-3.133437070E-1
