"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.698128570E-1,3.431157410E1,-2.108449765E-1
1.370143569E0,3.433497048E1,-2.053277234E-1
1.870477849E0,3.431836159E1,-2.019006824E-1
2.370810496E0,3.433194431E1,-2.049577254E-1
2.871146542E0,3.434075770E1,-2.035595185E-1
3.371488127E0,3.432135504E1,-1.997194655E-1
3.872364470E0,3.431557166E1,-2.028841453E-1
4.372707018E0,3.432847433E1,-2.064645890E-1
4.873036806E0,3.434663842E1,-2.044059793E-1
5.373372028E0,3.432336620E1,-1.974101879E-1
5.873718912E0,3.433415288E1,-1.888269567E-1
6.374057125E0,3.432947636E1,-1.931052864E-1
6.874386605E0,3.432172088E1,-2.010864534E-1
7.374715856E0,3.432441570E1,-2.118452500E-1
7.875053733E0,3.429765681E1,-2.046946163E-1
8.375386815E0,3.430723682E1,-1.962539796E-1
8.875723463E0,3.433271404E1,-2.016523500E-1
9.376065510E0,3.432406757E1,-1.895304137E-1
9.876393090E0,3.435383422E1,-1.934377902E-1
1.037672904E1,3.433029566E1,-1.878637595E-1
1.037672904E1,3.433029566E1,-1.878637595E-1
1.148362174E1,3.419929011E1,-2.512589042E-1
1.198396875E1,3.418949473E1,-2.399540832E-1
1.248429297E1,3.421280764E1,-2.381108539E-1
1.298463295E1,3.420804403E1,-2.463689863E-1
1.348496491E1,3.421125279E1,-2.381670293E-1
1.398530578E1,3.423333365E1,-2.298940738E-1
1.448605970E1,3.421013275E1,-2.081981021E-1
1.498638968E1,3.419061241E1,-1.343289611E-1
1.548672268E1,3.419370315E1,-1.833831607E-1
1.598707736E1,3.420069187E1,-1.750988629E-1
1.648739907E1,3.419875003E1,-1.803985056E-1
1.698773285E1,3.418467746E1,-1.918099961E-1
1.748806634E1,3.418261105E1,-2.095726068E-1
1.798840258E1,3.418733728E1,-1.716392738E-1
1.848873708E1,3.418474050E1,-2.092065327E-1
1.898907369E1,3.417873451E1,-2.169337065E-1
1.948940848E1,3.417677176E1,-2.301341380E-1
1.998974415E1,3.418978914E1,-2.075164681E-1
2.049007977E1,3.417320928E1,-2.127351907E-1
2.099041472E1,3.417127581E1,-2.366925478E-1
2.099041472E1,3.417127581E1,-2.366925478E-1
2.194905184E1,3.416678058E1,-4.305941303E-1
2.244938111E1,3.414290271E1,-2.727077594E-1
2.294972755E1,3.415538545E1,-2.567807662E-1
2.345005563E1,3.416740422E1,-2.556313793E-1
2.395040021E1,3.417919091E1,-2.485849817E-1
2.445105590E1,3.415869455E1,-2.455612483E-1
2.495138550E1,3.415722210E1,-2.691168074E-1
2.545172524E1,3.408801544E1,-1.706681229E-1
2.595206575E1,3.412471573E1,-1.368015764E-1
2.645239369E1,3.410297520E1,-1.269064927E-1
2.695272566E1,3.409962361E1,-1.455324215E-1
2.745306337E1,3.408112183E1,-1.564338925E-1
2.795339725E1,3.410591004E1,-1.381087360E-1
2.845373752E1,3.409100018E1,-1.402553229E-1
2.895407179E1,3.405988110E1,-1.487470320E-1
2.945440410E1,3.406778324E1,-1.666810399E-1
2.995474201E1,3.408460806E1,-9.664623696E-2
3.045507752E1,3.409393698E1,-3.010877727E-2
3.095541162E1,3.408332498E1,-3.536464223E-2
3.145592541E1,3.408902061E1,-1.585567903E-1
3.195625569E1,3.408647989E1,2.895754213E-2
3.245659237E1,3.411485054E1,1.061284842E-1
3.295692614E1,3.412411348E1,1.147217163E-1
3.295692614E1,3.412411348E1,1.147217163E-1
