"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.606692300E-1,-4.798957147E-3,2.688894272E-1,2.122145845E-3,2.689406209E-1
4.626709300E-1,-2.355496399E-3,2.597264647E-1,9.004153544E-4,2.597387064E-1
4.646722630E-1,1.309695072E-3,2.548395395E-1,3.954741638E-3,2.548735886E-1
4.666742630E-1,-2.966361586E-3,2.444548309E-1,-2.764775883E-3,2.444884611E-1
4.686756290E-1,2.531425562E-3,2.334592640E-1,-2.153910929E-3,2.334829232E-1
4.706769620E-1,-5.229006638E-4,2.285723388E-1,-7.040833123E-3,2.286813522E-1
4.726782950E-1,4.364021122E-3,2.212419659E-1,-5.208237097E-3,2.213462850E-1
4.746799610E-1,-1.744631212E-3,2.078029215E-1,-1.437121537E-2,2.083065764E-1
4.766813610E-1,5.585751962E-3,2.071920484E-1,-1.314948592E-2,2.076840257E-1
4.786826940E-1,3.753156168E-3,1.919204295E-1,-1.253862027E-2,1.923661988E-1
4.806895270E-1,4.364021122E-3,1.797031164E-1,-1.803640835E-2,1.806587024E-1
4.826908600E-1,6.988298264E-4,1.772596538E-1,-1.864727214E-2,1.782391483E-1
4.846921930E-1,4.364021122E-3,1.650423408E-1,-1.803640835E-2,1.660823017E-1
4.866935590E-1,8.640077896E-3,1.595445573E-1,-2.047986723E-2,1.610855105E-1
4.886948920E-1,5.585751962E-3,1.571011096E-1,-2.231246419E-2,1.587759595E-1
4.906962580E-1,8.640077896E-3,1.448838115E-1,-1.742554270E-2,1.461835124E-1
4.926975240E-1,8.029213175E-3,1.357208192E-1,-2.109073289E-2,1.375842580E-1
4.946988570E-1,8.640077896E-3,1.253361106E-1,-2.781025134E-2,1.286747902E-1
4.966998900E-1,7.418347523E-3,1.186165959E-1,-2.536679059E-2,1.215253174E-1
4.987012900E-1,7.418347523E-3,1.161731333E-1,-1.986900344E-2,1.180932092E-1
5.007026230E-1,6.807482336E-3,1.070101559E-1,-2.781025134E-2,1.107742089E-1
5.027039890E-1,5.585751962E-3,9.601458162E-2,-3.391890228E-2,1.019828046E-1
5.046986890E-1,3.753156168E-3,9.662543982E-2,-2.536679059E-2,9.997017489E-2
5.067000220E-1,4.364021122E-3,8.562986553E-2,-2.719938569E-2,8.995179338E-2
5.087016550E-1,9.250943549E-3,8.318641037E-2,-2.781025134E-2,8.819846317E-2
5.107029880E-1,1.047267299E-2,7.952121645E-2,-3.147544339E-2,8.616266176E-2
5.127042540E-1,3.753156168E-3,7.463429123E-2,-2.964284644E-2,8.039317106E-2
5.147056870E-1,4.364021122E-3,7.157997042E-2,-2.658852004E-2,7.648324158E-2
5.167070200E-1,6.807482336E-3,7.096909732E-2,-2.292332798E-2,7.488947560E-2
5.187086530E-1,4.364021122E-3,6.730391085E-2,-2.842111513E-2,7.318893961E-2
5.207093530E-1,3.753156168E-3,6.363871694E-2,-2.964284644E-2,7.030413088E-2
5.227106860E-1,3.753156168E-3,6.241698936E-2,-3.147544339E-2,7.000478754E-2
5.247120190E-1,6.196617149E-3,5.997353047E-2,-2.781025134E-2,6.639753385E-2
5.267130190E-1,1.047267299E-2,5.569747090E-2,-2.475592494E-2,6.184449017E-2
5.287143520E-1,7.418347523E-3,5.997353047E-2,-3.330803663E-2,6.900204012E-2
5.307156850E-1,1.047267299E-2,5.936266482E-2,-3.025371209E-2,6.744545907E-2
5.327177510E-1,8.029213175E-3,6.058439240E-2,-2.903198265E-2,6.765938873E-2
5.347190170E-1,5.585751962E-3,5.691920221E-2,-3.147544339E-2,6.528169530E-2
5.367203500E-1,7.418347523E-3,5.508660525E-2,-2.903198265E-2,6.270902626E-2
5.387216500E-1,7.418347523E-3,5.019968376E-2,-3.452977166E-2,6.137870363E-2
5.407181160E-1,8.029213175E-3,5.019968376E-2,-2.475592494E-2,5.654495851E-2
