"t (s)","Inclination (deg)","Rotation (deg)"
5.107105833E-1,3.468601569E1,4.328900986E0
1.018795333E0,3.461002766E1,4.352692546E0
1.526882333E0,3.460557591E1,4.344611467E0
2.034967583E0,3.459004565E1,4.323390361E0
2.543053583E0,3.458897675E1,4.320505291E0
3.051137375E0,3.459127670E1,4.329656243E0
3.559222375E0,3.457154981E1,4.326913309E0
4.067306958E0,3.456622280E1,4.332196225E0
4.575390958E0,3.456790173E1,4.341884335E0
5.083474333E0,3.455981166E1,4.338088183E0
5.591556333E0,3.455445629E1,4.343828365E0
6.099638458E0,3.454729152E1,4.334473626E0
7.115802833E0,3.451608378E1,4.305519197E0
7.947002667E0,3.431926261E1,2.236406257E0
8.455082000E0,3.428920572E1,2.270293956E0
8.963161000E0,3.428578225E1,2.250858410E0
9.471239250E0,3.427566988E1,2.254533943E0
9.979317250E0,3.427684673E1,2.261271919E0
1.048739412E1,3.427517333E1,2.261541316E0
1.099547213E1,3.426858696E1,2.276610577E0
1.150354950E1,3.426670343E1,2.259058300E0
1.201162650E1,3.427199157E1,2.264861890E0
1.251970213E1,3.425175818E1,2.275167736E0
1.302777867E1,3.424865134E1,2.251943423E0
1.411819108E1,3.417662321E1,4.998109093E0
1.462626508E1,3.415043453E1,5.059208045E0
1.513433950E1,3.415212782E1,5.048075630E0
1.564241250E1,3.415029510E1,5.050671232E0
1.615048637E1,3.414757320E1,5.052723661E0
1.665855937E1,3.415181949E1,5.059474731E0
1.716663350E1,3.414172032E1,5.042339284E0
1.767470650E1,3.413645381E1,5.050424875E0
1.818277821E1,3.413170717E1,5.051211345E0
1.869085121E1,3.414379487E1,5.057182624E0
1.919892375E1,3.413929281E1,5.059520059E0
1.970699675E1,3.413547432E1,5.055645533E0
2.021506775E1,3.412966077E1,5.064536237E0
2.072313875E1,3.414132595E1,5.058593268E0
2.186618400E1,3.419363420E1,4.919237778E0
2.237425425E1,3.416273136E1,4.983373175E0
2.288232425E1,3.417337110E1,4.981428198E0
2.339039437E1,3.416385054E1,4.996944306E0
2.389846438E1,3.416446724E1,4.993295207E0
2.440653462E1,3.416575177E1,5.001656244E0
2.491460462E1,3.416262319E1,5.007955313E0
2.542267429E1,3.417409544E1,5.009067721E0
2.593074329E1,3.416187710E1,5.023235630E0
2.643881342E1,3.417157521E1,5.022539252E0
2.694688242E1,3.415854041E1,5.016808786E0
2.745495192E1,3.415835708E1,5.010717597E0
2.847108954E1,3.416328855E1,5.035233753E0
2.897915854E1,3.416869438E1,5.029290141E0
2.948722737E1,3.416647423E1,5.025063677E0
3.012425862E1,3.106460532E1,5.614309793E0
3.063232462E1,3.100461819E1,5.598244207E0
3.114039162E1,3.100714828E1,5.605874436E0
3.164845854E1,3.100786255E1,5.620378337E0
3.215652454E1,3.099082374E1,5.609803475E0
3.266459275E1,3.100535428E1,5.612488524E0
3.317265975E1,3.099395959E1,5.625457315E0
