"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.943004167E-1,-2.410266735E-2,-1.032312959E-2,1.782807522E-2,3.170718915E-2
6.042634167E-1,-3.509209305E-2,-2.607321832E-3,4.575815797E-2,5.772401703E-2
6.142254167E-1,-4.454684630E-2,-3.055531997E-3,5.299982801E-2,6.930180056E-2
6.241874167E-1,-4.917629808E-2,6.009106524E-3,5.440716073E-2,7.358367205E-2
6.341507500E-1,-4.679649696E-2,6.778227165E-3,4.125860333E-2,6.275451251E-2
6.441127500E-1,-3.628131375E-2,2.603318915E-2,1.316398755E-2,4.655481965E-2
6.540757500E-1,-2.095109224E-2,4.608466476E-2,-2.175964043E-2,5.510196497E-2
6.640377500E-1,-2.613497898E-2,5.605424568E-2,-2.984699234E-2,6.867283697E-2
6.740007500E-1,-3.212948889E-2,5.029968917E-2,-7.858602330E-3,6.020066792E-2
6.839627500E-1,-1.409991458E-2,3.440392390E-2,9.840254672E-3,3.846125561E-2
6.939257500E-1,1.305420883E-2,2.460082807E-2,9.758229367E-3,2.950993308E-2
7.038877500E-1,2.720973827E-2,1.436430216E-2,-1.243731938E-2,3.318719552E-2
7.138507500E-1,2.757033147E-2,9.566084482E-3,-2.402872592E-2,3.780228590E-2
7.238127500E-1,1.956153847E-2,2.473832108E-3,-1.132028457E-2,2.273592917E-2
7.337757500E-1,2.489345334E-2,-1.389349345E-3,4.960950464E-3,2.542096262E-2
7.437377500E-1,2.650061809E-2,-4.776671994E-3,1.450679265E-3,2.696671698E-2
7.536997500E-1,1.258107275E-2,-1.182259806E-2,5.971928127E-3,1.826803607E-2
7.636627500E-1,-1.630858984E-3,-2.388762496E-2,3.739773855E-2,4.440573359E-2
7.736247500E-1,1.465650089E-2,-1.178089529E-2,5.860022828E-2,6.154339336E-2
7.835877500E-1,5.510932207E-2,2.377667092E-2,2.556559071E-2,6.523777194E-2
7.935497500E-1,7.550806552E-2,5.392631888E-2,-3.625516593E-2,9.961903876E-2
8.035127500E-1,7.432903349E-2,5.680650100E-2,-7.340575010E-2,1.189125221E-1
8.134747500E-1,6.922801584E-2,4.721406102E-2,-5.781507492E-2,1.018050521E-1
8.234377500E-1,2.721244097E-2,2.935361862E-2,4.203782883E-3,4.024703294E-2
8.333997500E-1,-3.409618884E-2,1.314109378E-2,6.698647141E-2,7.630482155E-2
8.433627500E-1,-7.332812995E-2,-1.730718184E-3,1.057690084E-1,1.287132206E-1
8.533247500E-1,-7.516171783E-2,7.250835188E-5,1.037399471E-1,1.281064624E-1
8.632877500E-1,-5.949100107E-2,7.905209437E-3,8.403573930E-2,1.032650813E-1
8.732497500E-1,-3.222342581E-2,2.987043001E-2,6.897849590E-2,8.178401222E-2
8.832117500E-1,-4.145986866E-3,5.376697332E-2,4.340043664E-2,6.922192230E-2
8.931747500E-1,9.687803686E-3,7.020879537E-2,1.926393807E-2,7.344540692E-2
9.031367500E-1,1.874994114E-2,7.233545929E-2,7.348103914E-3,7.508644082E-2
9.130997500E-1,3.541254252E-2,7.078123838E-2,1.056253910E-2,7.984734877E-2
9.230617500E-1,4.572604597E-2,7.690418512E-2,4.515022971E-3,8.958521307E-2
9.330247500E-1,3.073963895E-2,7.608233392E-2,-1.567679644E-2,8.354165958E-2
9.429867500E-1,1.426095609E-2,6.400293857E-2,-2.357644960E-2,6.968213537E-2
9.529497500E-1,5.931919906E-3,4.720319062E-2,-1.315470040E-2,4.935964973E-2
9.629117500E-1,-3.566415980E-4,3.316275775E-2,-4.653964192E-3,3.348962642E-2
9.728747500E-1,-1.455555111E-2,1.845092326E-2,1.568912342E-2,2.825684397E-2
9.828367500E-1,-1.578469388E-2,3.535326337E-3,3.443668038E-2,3.804655107E-2
9.927997500E-1,-4.236427136E-3,-2.609917894E-3,4.057792947E-2,4.088187063E-2
1.002761750E0,4.887841176E-3,-3.700924572E-3,2.369944192E-2,2.447961155E-2
1.012723750E0,1.676314324E-2,7.190338802E-3,-9.215097874E-3,2.043580124E-2
1.022686750E0,2.446006425E-2,1.312005427E-2,-3.945927694E-2,4.824380897E-2
1.032648750E0,1.912282407E-2,2.597638872E-3,-3.956846520E-2,4.402378410E-2
1.042611750E0,9.202549234E-3,-9.441217408E-4,-2.615539357E-2,2.774315936E-2
1.052573750E0,5.338302348E-3,5.829894915E-3,-3.507605754E-3,8.648031267E-3
1.062536750E0,-3.373377025E-3,1.384767890E-2,1.173649170E-2,1.846302036E-2
1.072498750E0,1.794220647E-3,1.534144580E-2,1.236233488E-2,1.978399633E-2
1.082461750E0,4.830663092E-3,2.201074734E-2,4.354239907E-3,2.295142065E-2
1.092423750E0,2.714249073E-3,2.223019116E-2,-2.221903764E-3,2.250523057E-2
1.102386750E0,-4.106425680E-3,2.136543766E-2,3.625578713E-3,2.205650650E-2
1.112348750E0,-2.660595346E-3,2.094279230E-2,1.428541355E-2,2.549024043E-2
1.122311750E0,-8.288467303E-3,2.257881127E-2,1.225141343E-2,2.699256453E-2
1.132273750E0,-1.624519192E-2,1.739949547E-2,7.151459809E-3,2.485542356E-2
1.142236750E0,-1.146584470E-2,2.103602327E-2,-7.221283391E-3,2.502252592E-2
1.152198750E0,2.961830702E-3,2.423767559E-2,-2.320930362E-2,3.368841245E-2
1.162160750E0,7.484703325E-3,2.641123906E-2,-3.676534444E-2,4.588316559E-2
1.172123750E0,3.436166095E-3,1.756448299E-2,-1.932510361E-2,2.633966457E-2
1.182085750E0,-6.633139215E-3,8.746854961E-3,4.635541700E-3,1.191613421E-2
1.192048750E0,-1.438400429E-2,1.299459673E-2,1.960250735E-2,2.756841341E-2
1.202010750E0,-2.572506107E-2,1.628688723E-2,2.175549790E-2,3.742115915E-2
1.211973750E0,-2.747369185E-2,1.093606278E-2,1.460517570E-2,3.298048469E-2
1.221935750E0,-2.561821602E-2,8.702784777E-3,6.140543614E-3,2.774414769E-2
1.231898750E0,-2.845794521E-2,1.304267347E-2,-1.659855247E-3,3.134838268E-2
1.241860750E0,-2.822499909E-2,2.607890591E-2,-1.147400588E-3,3.844575965E-2
1.251823750E0,-1.602159441E-2,4.043627530E-2,-5.284088664E-3,4.381444329E-2
1.261785750E0,-1.928346418E-2,6.012329087E-2,-1.736928336E-2,6.548552588E-2
1.271748750E0,-2.590328455E-2,8.645582944E-2,-3.358393908E-2,9.629886582E-2
1.281710750E0,-6.601195782E-3,1.016319692E-1,-4.624877125E-2,1.118551822E-1
1.291673750E0,2.043255232E-2,7.333934307E-2,-6.640410423E-2,1.010230345E-1
1.301635750E0,1.361503452E-2,1.817701012E-2,-1.102153286E-1,1.125308470E-1
1.311597750E0,7.130237296E-3,-3.108108230E-2,-1.566448808E-1,1.598577262E-1
1.321560750E0,3.754886240E-2,-5.417122319E-2,-1.504162699E-1,1.642239104E-1
1.331522750E0,4.196571559E-2,1.982610226E-1,-1.521505266E-1,2.534133720E-1
1.341485750E0,3.325007856E-2,5.683326125E-1,-1.713539660E-1,5.945331848E-1
1.351447750E0,-6.594171282E-4,9.103855491E-1,-2.357781306E-2,9.106910541E-1
1.361410750E0,-5.004944280E-2,1.272230268E0,6.428708136E-2,1.274836315E0
1.371372750E0,-4.714286700E-2,1.655905128E0,5.790747702E-2,1.657587861E0
1.381335750E0,7.156812400E-2,2.102289200E0,9.982318617E-3,2.103530728E0
1.391297750E0,1.792754084E-1,2.583347321E0,-5.723213777E-2,2.590192767E0
1.401260750E0,1.839832217E-1,3.104136944E0,-1.386563182E-1,3.112674343E0
1.411222750E0,1.259574592E-1,3.645822287E0,-1.722228080E-1,3.652060531E0
1.421185750E0,1.584932357E-1,4.192293167E0,-1.299257278E-1,4.197299465E0
1.431147750E0,2.517976165E-1,4.747514725E0,-1.079397425E-1,4.755412610E0
1.441110750E0,2.736816406E-1,5.311418533E0,-1.729079336E-1,5.321274812E0
1.451072750E0,1.902415901E-1,5.902082443E0,-2.623485923E-1,5.910972493E0
1.461035750E0,1.124733165E-1,6.579142094E0,-3.149053454E-1,6.587634349E0
1.470997750E0,1.877177358E-1,7.215884209E0,-2.667889595E-1,7.223254060E0
1.480960750E0,7.574122548E-1,7.645125389E0,2.018861845E-2,7.682579197E0
