"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.098083333E-3,4.044401925E-3,-1.288534515E-2,6.932775024E-3,1.518066784E-2
1.506008333E-2,1.119791903E-2,-2.043780312E-2,1.204125024E-2,2.623144857E-2
2.502308333E-2,2.737150341E-2,-2.461690269E-2,1.546822768E-2,3.993065445E-2
3.498608333E-2,3.597591072E-2,-3.283275291E-2,1.812899113E-2,5.197033900E-2
4.494908333E-2,3.734408319E-2,-4.615390673E-2,1.878955401E-2,6.227207236E-2
5.491108333E-2,2.899773791E-2,-6.396885216E-2,2.246285230E-2,7.373915232E-2
6.487408333E-2,2.481123433E-2,-7.151786983E-2,1.875644363E-2,7.798850705E-2
7.483708333E-2,2.695507929E-2,-6.125191599E-2,2.083211206E-2,7.008816166E-2
8.480008333E-2,2.915339358E-2,-5.338280275E-2,1.768230274E-2,6.334278031E-2
9.476308333E-2,1.642241888E-2,-4.894730821E-2,1.210963726E-2,5.302997395E-2
1.047250833E-1,5.998383276E-3,-4.473087937E-2,2.981171943E-3,4.522963140E-2
1.146880833E-1,-9.616263211E-3,-4.256786034E-2,-1.300658099E-3,4.365990109E-2
1.246510833E-1,-9.435324930E-3,-2.731050178E-2,-3.804778680E-3,2.914387080E-2
1.346140833E-1,-1.163189951E-2,-1.326445676E-2,-5.793360993E-3,1.856905843E-2
1.445760833E-1,-9.748763405E-3,-6.090019364E-3,-1.014572568E-2,1.533174724E-2
1.545390833E-1,-1.791641302E-2,4.566353280E-3,-1.328426041E-2,2.276666450E-2
1.645020833E-1,-1.739521697E-2,1.887433603E-2,-1.174465008E-2,2.822713127E-2
1.744650833E-1,-3.984070383E-3,3.880543262E-2,-4.266493954E-3,3.924203598E-2
1.844270833E-1,1.655414887E-2,6.759119034E-2,4.300920758E-3,6.972163779E-2
1.943900833E-1,2.494869754E-2,9.513014555E-2,7.060754579E-3,9.860038720E-2
2.043530833E-1,1.980333216E-2,1.179604828E-1,7.796193473E-3,1.198650412E-1
2.143160833E-1,2.424442023E-2,1.267577112E-1,9.071048349E-3,1.293738504E-1
2.242780833E-1,1.699112356E-2,1.317736059E-1,1.884732861E-3,1.328778903E-1
2.342410833E-1,7.486301009E-3,1.206674129E-1,2.065294888E-3,1.209170570E-1
2.442040833E-1,-6.690970622E-4,9.055984765E-2,1.244775020E-3,9.057087370E-2
2.541670833E-1,4.252690822E-3,7.920838892E-2,-4.057578743E-3,7.942618083E-2
2.641290833E-1,-8.264239877E-3,7.273909450E-2,3.031603992E-4,7.320768699E-2
2.740920833E-1,-2.198591083E-2,5.371267349E-2,-5.343539640E-3,5.828365967E-2
2.840550833E-1,-2.077676170E-2,3.535704687E-2,-9.486965835E-3,4.209272040E-2
2.940180833E-1,-1.935676485E-2,3.047227487E-2,-1.156369783E-2,3.790729466E-2
3.039800833E-1,-2.144248411E-2,1.634799875E-2,-1.276000030E-2,2.983043405E-2
3.139430833E-1,-2.152104676E-2,-4.706624895E-4,-1.596058719E-2,2.679771110E-2
3.239060833E-1,-1.266046148E-2,-1.554070879E-2,-6.039867178E-3,2.093515966E-2
3.338690833E-1,-5.792982411E-4,-4.408100620E-2,5.548345391E-3,4.443258748E-2
3.438320833E-1,1.608955488E-2,-7.346593589E-2,1.522241812E-2,7.673225870E-2
3.537940833E-1,2.005553432E-2,-8.196115494E-2,1.830635965E-2,8.634221551E-2
3.637570833E-1,1.921248809E-2,-8.011121303E-2,1.996049657E-2,8.476642953E-2
3.737200833E-1,3.565615974E-3,-9.778820723E-2,1.522140205E-2,9.902998622E-2
3.836830833E-1,4.190732725E-3,-1.079950929E-1,1.288226806E-2,1.088414221E-1
3.936450833E-1,1.098711975E-2,-1.135310084E-1,1.522185560E-2,1.150726360E-1
4.036080833E-1,1.475317497E-2,-1.229366809E-1,2.117985487E-2,1.256171562E-1
4.135710833E-1,1.859265566E-2,-1.333246082E-1,2.835254744E-2,1.375681829E-1
4.235340833E-1,1.959718578E-2,-1.244697422E-1,4.556238651E-2,1.339876766E-1
4.334960833E-1,-3.299177624E-4,-1.085592285E-1,6.977425516E-2,1.290490667E-1
4.434590833E-1,-2.633178607E-2,-7.028716058E-2,8.107456565E-2,1.104840853E-1
4.534220833E-1,-3.016673587E-2,-3.172352538E-2,6.477361917E-2,7.817950982E-2
4.633850833E-1,-4.596353509E-3,-3.657888155E-3,1.305354573E-2,1.431438673E-2
4.733470833E-1,1.028299332E-2,1.775226789E-3,-1.246432960E-2,1.625579571E-2
4.833100833E-1,-3.985120915E-3,6.731091999E-4,-5.058482289E-3,6.474759283E-3
4.932730833E-1,-4.215218127E-3,3.065160476E-3,-1.329297572E-2,1.427818182E-2
5.032360833E-1,-1.747152582E-2,-1.745197922E-3,-1.095546875E-2,2.069594709E-2
5.131980833E-1,-2.022097446E-2,-9.562108666E-3,-1.402449515E-2,2.640091276E-2
5.231610833E-1,-1.582274958E-2,-9.467683733E-3,-1.229979657E-2,2.216486939E-2
5.331240833E-1,-1.159045473E-2,-9.666888043E-3,-7.754312828E-3,1.696810928E-2
5.430870833E-1,-1.081844233E-2,-4.055772442E-3,-5.729910918E-3,1.289650587E-2
5.530490833E-1,-1.961833797E-3,5.009627901E-3,-4.792211577E-3,7.204891072E-3
5.630120833E-1,3.905292833E-3,1.660875743E-3,1.872926950E-3,4.638714877E-3
5.729750833E-1,1.845604042E-3,1.875792863E-3,8.888887241E-4,2.777584617E-3
5.829380833E-1,8.289797232E-3,-1.058246661E-2,1.474016905E-2,1.994948424E-2
5.929000833E-1,2.698225901E-2,-3.339776769E-2,2.706927434E-2,5.075626859E-2
6.028630833E-1,2.985963225E-2,-3.521381691E-2,3.691392764E-2,5.911216959E-2
