"t (s)","Inclination (deg)","Rotation (deg)"
5.102033750E-1,1.401221976E1,3.007097939E-1
1.018276375E0,1.401910659E1,3.039023762E-1
1.526348750E0,1.401790525E1,3.007319171E-1
2.034421750E0,1.401530767E1,2.943533118E-1
2.542493833E0,1.401403841E1,3.034583817E-1
3.454581042E0,1.577779160E1,4.044747856E-1
3.962652625E0,1.578828111E1,4.599386301E-1
4.470723625E0,1.578617877E1,4.177196596E-1
4.978794500E0,1.578076722E1,4.383589623E-1
5.975326542E0,1.318430458E1,-6.504248246E-1
6.483396542E0,1.319178234E1,-6.816713295E-1
6.991467375E0,1.318479895E1,-6.774771725E-1
7.499537375E0,1.318200372E1,-6.394904920E-1
8.007607375E0,1.317636849E1,-6.701501267E-1
8.920207625E0,1.300428471E1,-6.957950943E-1
9.428276625E0,1.301009152E1,-6.861920679E-1
9.936345042E0,1.300803098E1,-6.557705064E-1
1.044441304E1,1.301293268E1,-6.886660705E-1
1.095248254E1,1.300568485E1,-7.060520118E-1
1.200087233E1,1.394409987E1,-3.328415423E0
1.250893933E1,1.394981599E1,-3.228491314E0
1.301700725E1,1.394300657E1,-3.231507668E0
1.416110800E1,1.629516500E1,-1.163509868E0
1.466917500E1,1.629938880E1,-1.132772068E0
