"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.261714280E-1,1.569770535E1,-1.534200583E0
1.026507492E0,1.568976267E1,-1.526940768E0
2.027180060E0,1.569765221E1,-1.544315166E0
2.527514090E0,1.569417673E1,-1.529265253E0
3.027850991E0,1.569630166E1,-1.522468139E0
3.528125598E0,1.569822138E1,-1.526556576E0
4.028463499E0,1.570555354E1,-1.537890443E0
4.528804191E0,1.570083940E1,-1.525714362E0
5.029133189E0,1.570901049E1,-1.524766766E0
5.529475087E0,1.569962662E1,-1.525691440E0
6.029821921E0,1.567914351E1,-1.507718987E0
6.530147459E0,1.570368926E1,-1.536060240E0
7.030474856E0,1.571124781E1,-1.522447946E0
7.530810924E0,1.571336501E1,-1.532519774E0
8.031148767E0,1.570097654E1,-1.538332770E0
8.531484000E0,1.569169403E1,-1.536563060E0
9.031818333E0,1.570340503E1,-1.526283871E0
9.532154967E0,1.571788917E1,-1.518110473E0
1.003250010E1,1.570776380E1,-1.523162570E0
1.053277418E1,1.570475125E1,-1.526512527E0
1.103310648E1,1.569957151E1,-1.520866412E0
1.103310648E1,1.569957151E1,-1.520866412E0
1.162771411E1,1.564378746E1,-1.109457350E0
1.262838327E1,1.565412553E1,-1.103660581E0
1.312871354E1,1.565071120E1,-1.098883324E0
1.362904951E1,1.565446910E1,-1.101106699E0
1.412939267E1,1.566905836E1,-1.093552589E0
1.463033409E1,1.565619546E1,-1.103111893E0
1.513066870E1,1.565370348E1,-1.085866504E0
1.563100676E1,1.565568907E1,-1.096006072E0
1.613136076E1,1.564908232E1,-1.099594509E0
1.663167789E1,1.566348433E1,-1.096116602E0
1.713201209E1,1.565668196E1,-1.105358841E0
1.763234722E1,1.567070733E1,-1.092091488E0
1.813269055E1,1.567031813E1,-1.096899365E0
1.863302076E1,1.566835493E1,-1.108410726E0
1.913335399E1,1.566645187E1,-1.100993307E0
1.913335399E1,1.566645187E1,-1.100993307E0
1.913335399E1,1.566645187E1,-1.100993307E0
2.009713303E1,1.567010295E1,-9.461067927E-1
2.109780218E1,1.563378056E1,-9.026041895E-1
2.159813415E1,1.563866849E1,-8.943027464E-1
2.209846885E1,1.564092314E1,-8.834701236E-1
2.259880679E1,1.564490576E1,-8.595980070E-1
2.309963016E1,1.563467446E1,-7.747107178E-1
2.359996817E1,1.565718187E1,-7.119830022E-1
2.410030471E1,1.565419783E1,-6.916759627E-1
2.460063809E1,1.566254319E1,-6.863895741E-1
2.510097196E1,1.566850121E1,-6.711337753E-1
2.560131046E1,1.564148620E1,-6.932076273E-1
2.610164343E1,1.565576882E1,-6.768748947E-1
2.660197750E1,1.565343785E1,-6.789036423E-1
2.710231161E1,1.566372508E1,-6.760712886E-1
2.760264475E1,1.565917159E1,-6.693491456E-1
2.810298599E1,1.567049379E1,-6.627295888E-1
2.860332627E1,1.566130588E1,-6.811740108E-1
2.910366351E1,1.567753162E1,-6.684020096E-1
2.960399689E1,1.567587469E1,-6.803924940E-1
2.960399689E1,1.567587469E1,-6.803924940E-1
2.960399689E1,1.567587469E1,-6.803924940E-1
3.033983114E1,1.564898717E1,-1.138362219E0
3.084016707E1,1.563904682E1,-1.138734881E0
3.184084006E1,1.565335250E1,-1.129011152E0
3.234118098E1,1.564927306E1,-1.123754538E0
3.284151996E1,1.564557190E1,-1.129881999E0
3.334244204E1,1.564312474E1,-1.132730183E0
3.384277276E1,1.563635911E1,-1.125707077E0
3.434310693E1,1.564922480E1,-1.127242701E0
3.484344705E1,1.564360499E1,-1.122331404E0
3.534378329E1,1.566061555E1,-1.129813392E0
3.584411844E1,1.565536987E1,-1.121593298E0
3.634445055E1,1.565696222E1,-1.124974564E0
3.684479054E1,1.564502255E1,-1.139412751E0
3.734512469E1,1.564951196E1,-1.128701699E0
3.784545793E1,1.565280232E1,-1.134506185E0
3.834580335E1,1.566706021E1,-1.122343267E0
3.884612823E1,1.566084740E1,-1.130305517E0
3.934647073E1,1.565840486E1,-1.121157897E0
3.984680585E1,1.566763673E1,-1.130667114E0
3.984680585E1,1.566763673E1,-1.130667114E0
3.984680585E1,1.566763673E1,-1.130667114E0
4.106237102E1,1.553599140E1,-1.032087518E0
4.156270729E1,1.557946513E1,-1.015974901E0
4.206304359E1,1.559485700E1,-1.000546095E0
4.256337852E1,1.558551339E1,-1.002296796E0
4.306371929E1,1.557907538E1,-1.009201424E0
4.356405019E1,1.557933051E1,-1.003392841E0
4.406480804E1,1.559628493E1,-9.898643598E-1
4.456513594E1,1.559709077E1,-9.939499853E-1
4.506547024E1,1.558458180E1,-1.001664103E0
4.556581558E1,1.560566963E1,-9.891077284E-1
4.606614164E1,1.559039991E1,-1.000172560E0
4.656647671E1,1.559411310E1,-9.879597878E-1
4.706681647E1,1.559913673E1,-9.956948172E-1
4.756715591E1,1.560092155E1,-9.876093477E-1
4.806748677E1,1.558999003E1,-9.943449031E-1
4.856782055E1,1.560688010E1,-9.971984374E-1
4.906816198E1,1.559930588E1,-9.856387267E-1
4.956848999E1,1.560086425E1,-9.917733596E-1
5.006883029E1,1.560375036E1,-9.910599559E-1
5.056916812E1,1.559961786E1,-9.861866716E-1
5.106937671E1,1.560469461E1,-9.776509699E-1
5.156971247E1,1.560326861E1,-9.815602128E-1
5.207004824E1,1.560407693E1,-9.777167292E-1
5.257038331E1,1.561557433E1,-9.907704564E-1
5.307071904E1,1.559772642E1,-9.994032004E-1
5.357105547E1,1.560599916E1,-9.808740362E-1
5.357105547E1,1.560599916E1,-9.808740362E-1
5.357105547E1,1.560599916E1,-9.808740362E-1
5.456835193E1,1.581340890E1,-5.942519764E-1
5.556902780E1,1.583234875E1,-6.144129510E-1
5.606936393E1,1.581087277E1,-6.032316651E-1
5.656969473E1,1.581865140E1,-6.070682951E-1
5.707003077E1,1.582070185E1,-6.086288152E-1
5.757093788E1,1.582729685E1,-6.103391585E-1
5.807127048E1,1.581473919E1,-5.995278763E-1
5.857161578E1,1.581890694E1,-6.038804052E-1
5.907194312E1,1.583291464E1,-6.103034608E-1
5.957228202E1,1.583870035E1,-5.971233597E-1
6.007261963E1,1.583674373E1,-6.052671350E-1
6.057295877E1,1.584328123E1,-6.224797002E-1
6.107329140E1,1.584708589E1,-6.052545745E-1
6.157362523E1,1.584681462E1,-5.933669947E-1
6.207395763E1,1.582619636E1,-6.247265790E-1
6.257430037E1,1.585229059E1,-6.323066298E-1
6.307462707E1,1.583013655E1,-6.310191824E-1
6.357496374E1,1.584677796E1,-6.403060103E-1
6.407531404E1,1.584124474E1,-6.430900838E-1
6.457552068E1,1.583619998E1,-6.282756521E-1
6.507585958E1,1.583989192E1,-6.351213198E-1
6.557619001E1,1.584084015E1,-6.345226319E-1
6.607652791E1,1.584023402E1,-6.231265387E-1
6.657686652E1,1.584656455E1,-6.257641916E-1
6.707719635E1,1.584321616E1,-6.399038264E-1
6.707719635E1,1.584321616E1,-6.399038264E-1
6.707719635E1,1.584321616E1,-6.399038264E-1
6.850735993E1,1.582277999E1,-7.693688781E-1
6.900769128E1,1.582992918E1,-7.619848856E-1
6.950802614E1,1.582175349E1,-7.839362994E-1
7.000838369E1,1.581665880E1,-7.807096299E-1
7.050869746E1,1.581943018E1,-7.898487656E-1
7.100967341E1,1.580546644E1,-7.911120845E-1
7.151000271E1,1.581408212E1,-7.912170682E-1
7.201034201E1,1.582255273E1,-8.054932481E-1
7.251068008E1,1.582095109E1,-7.963213102E-1
7.301101587E1,1.583452010E1,-8.021398836E-1
7.351135070E1,1.581152810E1,-7.991928434E-1
7.401168490E1,1.582196106E1,-7.902033397E-1
7.451201830E1,1.581763065E1,-7.990458839E-1
7.501235914E1,1.582132123E1,-8.061861733E-1
7.551269878E1,1.582099896E1,-8.052927289E-1
7.601303281E1,1.582015472E1,-7.999593955E-1
7.651335894E1,1.582900185E1,-8.007764595E-1
7.701370265E1,1.581957122E1,-8.029897035E-1
7.751403568E1,1.582524720E1,-8.145559437E-1
7.801417783E1,1.582942434E1,-8.175394813E-1
7.851451766E1,1.584246708E1,-8.213650671E-1
7.901484720E1,1.585871492E1,-8.360053611E-1
7.951518306E1,1.581453830E1,-8.163151390E-1
8.001552323E1,1.582361814E1,-8.129383418E-1
8.051585906E1,1.582904136E1,-8.122908102E-1
