"t (s)","Inclination (deg)","Rotation (deg)"
5.106937671E1,1.563237388E1,-3.496438022E0
5.156971247E1,1.563117255E1,-3.510723145E0
5.207004824E1,1.563176124E1,-3.496817805E0
5.257038331E1,1.564397701E1,-3.540660093E0
5.307071904E1,1.562666548E1,-3.575722167E0
5.357105547E1,1.563385828E1,-3.507630905E0
5.357105547E1,1.563385828E1,-3.507630905E0
5.357105547E1,1.563385828E1,-3.507630905E0
5.456835193E1,1.582347849E1,-2.097305611E0
5.556902780E1,1.584309738E1,-2.165670649E0
5.606936393E1,1.582125088E1,-2.129330329E0
5.656969473E1,1.582915566E1,-2.141753400E0
5.707003077E1,1.583125852E1,-2.146961538E0
5.757093788E1,1.583790756E1,-2.152046109E0
5.807127048E1,1.582498727E1,-2.115723269E0
5.857161578E1,1.582930100E1,-2.130479800E0
5.907194312E1,1.584351956E1,-2.151117287E0
5.957228202E1,1.584884783E1,-2.103891958E0
6.007261963E1,1.584717135E1,-2.132838506E0
6.057295877E1,1.585430466E1,-2.192486401E0
6.107329140E1,1.585750486E1,-2.131330196E0
6.157362523E1,1.585682867E1,-2.089541617E0
6.207395763E1,1.583731398E1,-2.202891587E0
6.257430037E1,1.586365688E1,-2.225735544E0
6.307462707E1,1.584147577E1,-2.224477511E0
6.357496374E1,1.585843846E1,-2.254691722E0
6.407531404E1,1.585301179E1,-2.265317757E0
6.457552068E1,1.584743564E1,-2.213922975E0
6.507585958E1,1.585137045E1,-2.237474736E0
6.557619001E1,1.585229622E1,-2.235226847E0
6.607652791E1,1.585128294E1,-2.195206724E0
6.657686652E1,1.585770179E1,-2.203564181E0
6.707719635E1,1.585486519E1,-2.253809670E0
6.707719635E1,1.585486519E1,-2.253809670E0
6.707719635E1,1.585486519E1,-2.253809670E0
6.850735993E1,1.583964307E1,-2.712905693E0
6.900769128E1,1.584646127E1,-2.685628348E0
6.950802614E1,1.583926222E1,-2.764388433E0
7.000838369E1,1.583403053E1,-2.753958454E0
7.050869746E1,1.583720701E1,-2.785637366E0
7.100967341E1,1.582331918E1,-2.792677053E0
7.151000271E1,1.583192785E1,-2.791447913E0
7.201034201E1,1.584103593E1,-2.840140802E0
7.251068008E1,1.583901820E1,-2.808147498E0
7.301101587E1,1.585283308E1,-2.826087991E0
7.351135070E1,1.582973877E1,-2.820023879E0
7.401168490E1,1.583975041E1,-2.786417523E0
7.451201830E1,1.583582615E1,-2.818362885E0
7.501235914E1,1.583983796E1,-2.842812889E0
7.551269878E1,1.583947515E1,-2.839727919E0
7.601303281E1,1.583838831E1,-2.821107073E0
7.651335894E1,1.584726034E1,-2.822325327E0
7.701370265E1,1.583794395E1,-2.831887451E0
7.751403568E1,1.584414452E1,-2.871532695E0
7.801417783E1,1.584845419E1,-2.881234923E0
7.851451766E1,1.586165623E1,-2.892191648E0
7.901484720E1,1.587856921E1,-2.940490651E0
7.951518306E1,1.583353281E1,-2.879772696E0
8.001552323E1,1.584244286E1,-2.866149037E0
8.051585906E1,1.584782835E1,-2.862838340E0
