"t (s)","Inclination (deg)","Rotation (deg)"
5.261714280E-1,1.576529842E1,-5.443796371E0
1.026507492E0,1.575675960E1,-5.421045776E0
2.027180060E0,1.576613783E1,-5.479504795E0
2.527514090E0,1.576135467E1,-5.427656420E0
3.027850991E0,1.576287416E1,-5.402899052E0
3.528125598E0,1.576514134E1,-5.416635937E0
4.028463499E0,1.577343068E1,-5.453965451E0
4.528804191E0,1.576767230E1,-5.412720020E0
5.029133189E0,1.577571886E1,-5.406434478E0
5.529475087E0,1.576646371E1,-5.413076341E0
6.029821921E0,1.574452083E1,-5.356961914E0
6.530147459E0,1.577141493E1,-5.448186987E0
7.030474856E0,1.577774249E1,-5.397453415E0
7.530810924E0,1.578072963E1,-5.432199000E0
8.031148767E0,1.576891642E1,-5.457188190E0
8.531484000E0,1.575952618E1,-5.454316346E0
9.031818333E0,1.577027460E1,-5.413804362E0
9.532154967E0,1.578397270E1,-5.379780999E0
1.003250010E1,1.577433852E1,-5.401225630E0
1.053277418E1,1.577163393E1,-5.414125649E0
1.103310648E1,1.576598769E1,-5.396070386E0
1.103310648E1,1.576598769E1,-5.396070386E0
1.162771411E1,1.567931736E1,-3.956133470E0
1.262838327E1,1.568925762E1,-3.932798890E0
1.312871354E1,1.568554927E1,-3.916719963E0
1.362904951E1,1.568943803E1,-3.923634303E0
1.412939267E1,1.570351104E1,-3.892989337E0
1.463033409E1,1.569128708E1,-3.930304550E0
1.513066870E1,1.568771414E1,-3.869679556E0
1.563100676E1,1.569033189E1,-3.905191867E0
1.613136076E1,1.568396981E1,-3.919675172E0
1.663167789E1,1.569811339E1,-3.903546948E0
1.713201209E1,1.569191521E1,-3.938158790E0
1.763234722E1,1.570506376E1,-3.887373684E0
1.813269055E1,1.570497844E1,-3.904540661E0
1.863302076E1,1.570375106E1,-3.945916330E0
1.913335399E1,1.570138146E1,-3.920085727E0
1.913335399E1,1.570138146E1,-3.920085727E0
1.913335399E1,1.570138146E1,-3.920085727E0
2.009713303E1,1.569589626E1,-3.369054933E0
2.109780218E1,1.565732376E1,-3.222287134E0
2.159813415E1,1.566177224E1,-3.191660801E0
2.209846885E1,1.566346706E1,-3.152595840E0
2.259880679E1,1.566624209E1,-3.066742506E0
2.309963016E1,1.565202068E1,-2.766250296E0
2.359996817E1,1.567180868E1,-2.538713997E0
2.410030471E1,1.566800570E1,-2.466882675E0
2.460063809E1,1.567613218E1,-2.446679856E0
2.510097196E1,1.568148714E1,-2.391402900E0
2.560131046E1,1.565536883E1,-2.474449319E0
2.610164343E1,1.566899071E1,-2.413897970E0
2.660197750E1,1.566674147E1,-2.421503719E0
2.710231161E1,1.567690755E1,-2.409748922E0
2.760264475E1,1.567209785E1,-2.386543274E0
2.810298599E1,1.568315471E1,-2.361172867E0
2.860332627E1,1.567469049E1,-2.428310714E0
2.910366351E1,1.569040316E1,-2.380238250E0
2.960399689E1,1.568921368E1,-2.423159975E0
2.960399689E1,1.568921368E1,-2.423159975E0
2.960399689E1,1.568921368E1,-2.423159975E0
3.033983114E1,1.568637537E1,-4.057476447E0
3.084016707E1,1.567648806E1,-4.061504248E0
3.184084006E1,1.569011736E1,-4.023071448E0
3.234118098E1,1.568570817E1,-4.005490621E0
3.284151996E1,1.568241543E1,-4.028263675E0
3.334244204E1,1.568016100E1,-4.039049204E0
3.384277276E1,1.567295708E1,-4.015902387E0
3.434310693E1,1.568588632E1,-4.017899288E0
3.484344705E1,1.567996380E1,-4.001952382E0
3.534378329E1,1.569741209E1,-4.023964504E0
3.584411844E1,1.569164814E1,-3.996178344E0
3.634445055E1,1.569345484E1,-4.007762228E0
3.684479054E1,1.568249112E1,-4.062287879E0
3.734512469E1,1.568626753E1,-4.023006589E0
3.784545793E1,1.568992707E1,-4.042741471E0
3.834580335E1,1.570335436E1,-3.995714888E0
3.884612823E1,1.569767531E1,-4.025649489E0
3.934647073E1,1.569464655E1,-3.993820111E0
3.984680585E1,1.570446897E1,-4.025104396E0
3.984680585E1,1.570446897E1,-4.025104396E0
3.984680585E1,1.570446897E1,-4.025104396E0
4.106237102E1,1.556699961E1,-3.707747055E0
4.156270729E1,1.560941304E1,-3.639334403E0
4.206304359E1,1.562386863E1,-3.580492058E0
4.256337852E1,1.561464751E1,-3.588996265E0
4.306371929E1,1.560862656E1,-3.615225407E0
4.356405019E1,1.560854223E1,-3.594406280E0
4.406480804E1,1.562467785E1,-3.542017248E0
4.456513594E1,1.562571656E1,-3.556409593E0
4.506547024E1,1.561368127E1,-3.586960958E0
4.556581558E1,1.563399873E1,-3.537084489E0
4.606614164E1,1.561939986E1,-3.580231322E0
4.656647671E1,1.562240170E1,-3.535734329E0
4.706681647E1,1.562785850E1,-3.562147971E0
4.756715591E1,1.562917528E1,-3.532865800E0
4.806748677E1,1.561865424E1,-3.559518271E0
4.856782055E1,1.563567143E1,-3.565658611E0
4.906816198E1,1.562745057E1,-3.526215834E0
4.956848999E1,1.562935664E1,-3.547739921E0
5.006883029E1,1.563219549E1,-3.544506416E0
5.056916812E1,1.562779315E1,-3.528097610E0
