"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.261714280E-1,9.544379637E1,9.153420058E1
1.026507492E0,9.542104577E1,9.152694076E1
2.027180060E0,9.547950479E1,9.154431516E1
2.527514090E0,9.542765642E1,9.152926525E1
3.027850991E0,9.540289905E1,9.152246813E1
3.528125598E0,9.541663593E1,9.152655657E1
4.028463499E0,9.545396545E1,9.153789044E1
4.528804191E0,9.541272001E1,9.152571436E1
5.029133189E0,9.540643447E1,9.152476676E1
5.529475087E0,9.541307634E1,9.152569144E1
6.029821921E0,9.535696191E1,9.150771898E1
6.530147459E0,9.544818698E1,9.153606023E1
7.030474856E0,9.539745341E1,9.152244794E1
7.530810924E0,9.543219900E1,9.153251977E1
8.031148767E0,9.545718818E1,9.153833277E1
8.531484000E0,9.545431634E1,9.153656305E1
9.031818333E0,9.541380436E1,9.152628387E1
9.532154967E0,9.537978099E1,9.151811047E1
1.003250010E1,9.540122563E1,9.152316257E1
1.053277418E1,9.541412564E1,9.152651252E1
1.103310648E1,9.539607038E1,9.152086641E1
1.103310648E1,9.539607038E1,9.152086641E1
1.162771411E1,9.395613347E1,9.110945734E1
1.262838327E1,9.393279889E1,9.110366058E1
1.312871354E1,9.391671996E1,9.109888332E1
1.362904951E1,9.392363430E1,9.110110669E1
1.412939267E1,9.389298933E1,9.109355258E1
1.463033409E1,9.393030454E1,9.110311189E1
1.513066870E1,9.386967955E1,9.108586650E1
1.563100676E1,9.390519186E1,9.109600607E1
1.613136076E1,9.391967517E1,9.109959450E1
1.663167789E1,9.390354694E1,9.109611660E1
1.713201209E1,9.393815879E1,9.110535884E1
1.763234722E1,9.388737368E1,9.109209148E1
1.813269055E1,9.390454066E1,9.109689936E1
1.863302076E1,9.394591633E1,9.110841072E1
1.913335399E1,9.392008572E1,9.110099330E1
1.913335399E1,9.392008572E1,9.110099330E1
1.913335399E1,9.392008572E1,9.110099330E1
2.009713303E1,9.336905493E1,9.094610679E1
2.109780218E1,9.322228713E1,9.090260418E1
2.159813415E1,9.319166080E1,9.089430274E1
2.209846885E1,9.315259584E1,9.088347012E1
2.259880679E1,9.306674250E1,9.085959800E1
2.309963016E1,9.276625029E1,9.077471071E1
2.359996817E1,9.253871399E1,9.071198300E1
2.410030471E1,9.246688267E1,9.069167596E1
2.460063809E1,9.244667985E1,9.068638957E1
2.510097196E1,9.239140289E1,9.067113377E1
2.560131046E1,9.247444931E1,9.069320762E1
2.610164343E1,9.241389797E1,9.067687489E1
2.660197750E1,9.242150371E1,9.067890364E1
2.710231161E1,9.240974892E1,9.067607128E1
2.760264475E1,9.238654327E1,9.066934914E1
2.810298599E1,9.236117286E1,9.066272958E1
2.860332627E1,9.242831071E1,9.068117401E1
2.910366351E1,9.238023824E1,9.066840200E1
2.960399689E1,9.242315997E1,9.068039249E1
2.960399689E1,9.242315997E1,9.068039249E1
2.960399689E1,9.242315997E1,9.068039249E1
3.033983114E1,9.405747644E1,9.113836221E1
3.084016707E1,9.406150424E1,9.113873488E1
3.184084006E1,9.402307144E1,9.112901115E1
3.234118098E1,9.400549062E1,9.112375453E1
3.284151996E1,9.402826367E1,9.112988199E1
3.334244204E1,9.403904920E1,9.113273018E1
3.384277276E1,9.401590238E1,9.112570707E1
3.434310693E1,9.401789928E1,9.112724270E1
3.484344705E1,9.400195238E1,9.112233140E1
3.534378329E1,9.402396450E1,9.112981339E1
3.584411844E1,9.399617834E1,9.112159329E1
3.634445055E1,9.400776222E1,9.112497456E1
