"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.261714280E-1,7.430229464E1,-5.443796371E0
1.026507492E0,7.431023732E1,-5.421045776E0
2.027180060E0,7.430234779E1,-5.479504795E0
2.527514090E0,7.430582326E1,-5.427656420E0
3.027850991E0,7.430369834E1,-5.402899052E0
3.528125598E0,7.430177861E1,-5.416635937E0
4.028463499E0,7.429444645E1,-5.453965451E0
4.528804191E0,7.429916060E1,-5.412720020E0
5.029133189E0,7.429098951E1,-5.406434478E0
5.529475087E0,7.430037338E1,-5.413076341E0
6.029821921E0,7.432085649E1,-5.356961914E0
6.530147459E0,7.429631074E1,-5.448186987E0
7.030474856E0,7.428875218E1,-5.397453415E0
7.530810924E0,7.428663499E1,-5.432199000E0
8.031148767E0,7.429902346E1,-5.457188190E0
8.531484000E0,7.430830597E1,-5.454316346E0
9.031818333E0,7.429659497E1,-5.413804362E0
9.532154967E0,7.428211083E1,-5.379780999E0
1.003250010E1,7.429223620E1,-5.401225630E0
1.053277418E1,7.429524874E1,-5.414125649E0
1.103310648E1,7.430042848E1,-5.396070386E0
1.103310648E1,7.430042848E1,-5.396070386E0
1.162771411E1,7.435621253E1,-3.956133470E0
1.262838327E1,7.434587446E1,-3.932798890E0
1.312871354E1,7.434928879E1,-3.916719963E0
1.362904951E1,7.434553090E1,-3.923634303E0
1.412939267E1,7.433094163E1,-3.892989337E0
1.463033409E1,7.434380453E1,-3.930304550E0
1.513066870E1,7.434629652E1,-3.869679556E0
1.563100676E1,7.434431093E1,-3.905191867E0
1.613136076E1,7.435091767E1,-3.919675172E0
1.663167789E1,7.433651567E1,-3.903546948E0
1.713201209E1,7.434331803E1,-3.938158790E0
1.763234722E1,7.432929266E1,-3.887373684E0
1.813269055E1,7.432968186E1,-3.904540661E0
1.863302076E1,7.433164506E1,-3.945916330E0
1.913335399E1,7.433354812E1,-3.920085727E0
1.913335399E1,7.433354812E1,-3.920085727E0
1.913335399E1,7.433354812E1,-3.920085727E0
2.009713303E1,7.432989705E1,-3.369054933E0
2.109780218E1,7.436621944E1,-3.222287134E0
2.159813415E1,7.436133151E1,-3.191660801E0
2.209846885E1,7.435907686E1,-3.152595840E0
2.259880679E1,7.435509424E1,-3.066742506E0
2.309963016E1,7.436532553E1,-2.766250296E0
2.359996817E1,7.434281813E1,-2.538713997E0
2.410030471E1,7.434580217E1,-2.466882675E0
2.460063809E1,7.433745680E1,-2.446679856E0
2.510097196E1,7.433149879E1,-2.391402900E0
2.560131046E1,7.435851380E1,-2.474449319E0
2.610164343E1,7.434423118E1,-2.413897970E0
2.660197750E1,7.434656214E1,-2.421503719E0
2.710231161E1,7.433627492E1,-2.409748922E0
2.760264475E1,7.434082840E1,-2.386543274E0
2.810298599E1,7.432950621E1,-2.361172867E0
2.860332627E1,7.433869412E1,-2.428310714E0
2.910366351E1,7.432246838E1,-2.380238250E0
