"t (s)","Inclination (deg)","Rotation (deg)"
8.862880710E-1,2.457562286E1,-1.614100548E0
1.386609954E0,2.459081381E1,-1.660854534E0
1.886944674E0,2.457709037E1,-1.612328857E0
2.387283285E0,2.459380546E1,-1.539703423E0
2.887616902E0,2.458695796E1,-1.650552082E0
3.387957652E0,2.457333316E1,-1.636514979E0
3.888032226E0,2.457154139E1,-1.675234330E0
4.388372576E0,2.458092527E1,-1.679767819E0
4.888705532E0,2.457405873E1,-1.646363054E0
5.389043477E0,2.457879986E1,-1.655493586E0
5.889375654E0,2.457709969E1,-1.630831443E0
6.389712036E0,2.458899666E1,-1.638139802E0
6.890049019E0,2.457941725E1,-1.673130984E0
7.390376872E0,2.459166011E1,-1.662356129E0
7.890712785E0,2.458140819E1,-1.667955038E0
8.391061159E0,2.458683561E1,-1.674539377E0
8.891384115E0,2.458341580E1,-1.649578358E0
9.391720066E0,2.458274074E1,-1.673050712E0
9.892057277E0,2.457552917E1,-1.665241136E0
1.039239222E1,2.461636335E1,-1.548912516E0
1.089272724E1,2.462219360E1,-1.575860929E0
1.089272724E1,2.462219360E1,-1.575860929E0
1.209740107E1,2.449520026E1,-1.065897685E0
1.259773128E1,2.452086784E1,-1.142227021E0
1.309806456E1,2.449779955E1,-1.100460638E0
1.359840350E1,2.451832556E1,-1.098402186E0
1.409874219E1,2.451463711E1,-1.086591618E0
1.459952505E1,2.451670647E1,-1.071451123E0
1.509986080E1,2.451277202E1,-1.038385341E0
1.560020001E1,2.450591759E1,-1.288573462E0
1.610053836E1,2.449728836E1,-1.263269736E0
1.660086697E1,2.451760702E1,-1.329914686E0
1.710121353E1,2.451614525E1,-1.350478776E0
1.760153831E1,2.450713848E1,-1.285462148E0
1.810187683E1,2.449641556E1,-1.301757567E0
1.860222191E1,2.450109978E1,-1.424877382E0
1.910254915E1,2.449495546E1,-1.399443902E0
1.960288760E1,2.450134414E1,-1.426174420E0
2.010322104E1,2.449618329E1,-1.482808626E0
2.060355492E1,2.451747383E1,-1.534763217E0
2.110389287E1,2.451419886E1,-1.474803864E0
2.160415186E1,2.450540773E1,-1.458628783E0
2.210448881E1,2.451804259E1,-1.482354466E0
2.260482232E1,2.452000881E1,-1.500742591E0
2.310516000E1,2.452840582E1,-1.492562084E0
2.310516000E1,2.452840582E1,-1.492562084E0
2.310516000E1,2.452840582E1,-1.492562084E0
2.419820140E1,2.453030391E1,-7.461748143E-1
2.469853676E1,2.452787179E1,-7.755005005E-1
2.519887399E1,2.451205302E1,-7.571887005E-1
2.569920889E1,2.450264415E1,-7.170162116E-1
2.619954662E1,2.451842719E1,-7.314816635E-1
2.669988152E1,2.451648844E1,-7.475115119E-1
2.720051134E1,2.451353177E1,-7.452277273E-1
2.770085571E1,2.451510815E1,-7.443479203E-1
2.820118280E1,2.449848371E1,-6.951996626E-1
2.870152060E1,2.449546916E1,-7.013046609E-1
2.920185519E1,2.449766633E1,-6.962659958E-1
2.970218956E1,2.449977133E1,-7.325124794E-1
3.020252676E1,2.451329128E1,-7.493682890E-1
3.070286402E1,2.450964747E1,-7.428049942E-1
3.120320229E1,2.450986511E1,-7.358503588E-1
3.170353205E1,2.451211474E1,-8.124175179E-1
3.220387352E1,2.451493614E1,-8.494350131E-1
3.270420262E1,2.451387987E1,-8.606851680E-1
3.320454136E1,2.451676021E1,-8.800174070E-1
3.370487749E1,2.451856427E1,-8.966371061E-1
3.420517602E1,2.451131764E1,-8.745289585E-1
3.470550936E1,2.451191111E1,-8.598768614E-1
3.520584729E1,2.451219559E1,-8.874817787E-1
3.570617349E1,2.450405370E1,-8.541527554E-1
3.620650909E1,2.451615191E1,-8.669564635E-1
3.620650909E1,2.451615191E1,-8.669564635E-1
3.620650909E1,2.451615191E1,-8.669564635E-1
3.745298190E1,2.452816805E1,-9.080188890E-1
3.795331211E1,2.451266655E1,-8.500092153E-1
3.845364793E1,2.449260405E1,-8.709953674E-1
3.895398244E1,2.452769822E1,-9.731716667E-1
3.945432589E1,2.452956687E1,-9.138027812E-1
3.995466694E1,2.451898116E1,-8.496008413E-1
4.045479162E1,2.451723663E1,-8.602714210E-1
4.095513337E1,2.452636871E1,-8.872081502E-1
4.145546221E1,2.452273894E1,-8.858573400E-1
4.195580092E1,2.452496469E1,-8.707255639E-1
4.245613440E1,2.452284768E1,-8.705501967E-1
4.295647851E1,2.452156178E1,-9.108914424E-1
4.345680402E1,2.452951173E1,-8.742885350E-1
4.395713991E1,2.452661792E1,-9.163150100E-1
4.445748169E1,2.452444060E1,-9.153078547E-1
4.495781191E1,2.452261636E1,-9.036439892E-1
4.545815111E1,2.452181011E1,-8.885072420E-1
4.595848720E1,2.452525121E1,-9.020708423E-1
4.645881814E1,2.452692228E1,-9.452199599E-1
4.695915434E1,2.452521735E1,-9.248239325E-1
4.745920110E1,2.451070209E1,-9.332623842E-1
