"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.862880710E-1,9.161410054E1,9.073802395E1
1.386609954E0,9.166085453E1,9.075992549E1
1.886944674E0,9.161232885E1,9.073726409E1
2.387283285E0,9.153970342E1,9.070460957E1
2.887616902E0,9.165055208E1,9.075507915E1
3.387957652E0,9.163651497E1,9.074818964E1
3.888032226E0,9.167523433E1,9.076582114E1
4.388372576E0,9.167976781E1,9.076822530E1
4.888705532E0,9.164636305E1,9.075271548E1
5.389043477E0,9.165549358E1,9.075705389E1
5.889375654E0,9.163083144E1,9.074572180E1
6.389712036E0,9.163813980E1,9.074947357E1
6.890049019E0,9.167313098E1,9.076513800E1
7.390376872E0,9.166235612E1,9.076064196E1
7.890712785E0,9.166795503E1,9.076284201E1
8.391061159E0,9.167453937E1,9.076604391E1
8.891384115E0,9.164957835E1,9.075451059E1
9.391720066E0,9.167305071E1,9.076521862E1
9.892057277E0,9.166524113E1,9.076139475E1
1.039239222E1,9.154891251E1,9.070955995E1
1.089272724E1,9.157586092E1,9.072209467E1
1.089272724E1,9.157586092E1,9.072209467E1
1.209740107E1,9.106589768E1,9.048561008E1
1.259773128E1,9.114222702E1,9.052099646E1
1.309806456E1,9.110046063E1,9.050141413E1
1.359840350E1,9.109840218E1,9.050095160E1
1.409874219E1,9.108659161E1,9.049548155E1
1.459952505E1,9.107145112E1,9.048862543E1
1.509986080E1,9.103838534E1,9.047346233E1
1.560020001E1,9.128857346E1,9.058732740E1
1.610053836E1,9.126326973E1,9.057556698E1
1.660086697E1,9.132991468E1,9.060649355E1
1.710121353E1,9.135047877E1,9.061582753E1
1.760153831E1,9.128546214E1,9.058594269E1
1.810187683E1,9.130175756E1,9.059307454E1
1.860222191E1,9.142487738E1,9.064929233E1
1.910254915E1,9.139944390E1,9.063752482E1
1.960288760E1,9.142617442E1,9.064989054E1
2.010322104E1,9.148280862E1,9.067552881E1
2.060355492E1,9.153476321E1,9.069987872E1
2.110389287E1,9.147480386E1,9.067244313E1
2.160415186E1,9.145862878E1,9.066480004E1
2.210448881E1,9.148235446E1,9.067600488E1
2.260482232E1,9.150074259E1,9.068445000E1
2.310516000E1,9.149256208E1,9.068098449E1
2.310516000E1,9.149256208E1,9.068098449E1
2.310516000E1,9.149256208E1,9.068098449E1
2.419820140E1,9.074617481E1,9.034051455E1
2.469853676E1,9.077550050E1,9.035385633E1
2.519887399E1,9.075718870E1,9.034524892E1
2.569920889E1,9.071701621E1,9.032679100E1
2.619954662E1,9.073148166E1,9.033362672E1
2.669988152E1,9.074751151E1,9.034090675E1
2.720051134E1,9.074522772E1,9.033981885E1
2.770085571E1,9.074434792E1,9.033944243E1
2.820118280E1,9.069519966E1,9.031678751E1
2.870152060E1,9.070130466E1,9.031952468E1
2.920185519E1,9.069626599E1,9.031726139E1
2.970218956E1,9.073251247E1,9.033380876E1
3.020252676E1,9.074936828E1,9.034170297E1
3.070286402E1,9.074280499E1,9.033865336E1
3.120320229E1,9.073585035E1,9.033548629E1
3.170353205E1,9.081241751E1,9.037042989E1
3.220387352E1,9.084943501E1,9.038735720E1
3.270420262E1,9.086068516E1,9.039246776E1
3.320454136E1,9.088001740E1,9.040133562E1
3.370487749E1,9.089663710E1,9.040894833E1
3.420517602E1,9.087452895E1,9.039873252E1
3.470550936E1,9.085987686E1,9.039206352E1
3.520584729E1,9.088748177E1,9.040465399E1
3.570617349E1,9.085415275E1,9.038931240E1
3.620650909E1,9.086695646E1,9.039536865E1
3.620650909E1,9.086695646E1,9.039536865E1
3.620650909E1,9.086695646E1,9.039536865E1
3.745298190E1,9.090801888E1,9.041432272E1
3.795331211E1,9.085000921E1,9.038757835E1
3.845364793E1,9.087099536E1,9.039677805E1
3.895398244E1,9.097317166E1,9.044403792E1
3.945432589E1,9.091380278E1,9.041698850E1
3.995466694E1,9.084960084E1,9.038750526E1
4.045479162E1,9.086027142E1,9.039233999E1
4.095513337E1,9.088720815E1,9.040479435E1
4.145546221E1,9.088585734E1,9.040411030E1
4.195580092E1,9.087072556E1,9.039724911E1
4.245613440E1,9.087055019E1,9.039713026E1
4.295647851E1,9.091089144E1,9.041550641E1
4.345680402E1,9.087428853E1,9.039895828E1
4.395713991E1,9.091631501E1,9.041807777E1
4.445748169E1,9.091530785E1,9.041757628E1
4.495781191E1,9.090364398E1,9.041222094E1
4.545815111E1,9.088850724E1,9.040530160E1
4.595848720E1,9.090207084E1,9.041155350E1
4.645881814E1,9.094521996E1,9.043127034E1
4.695915434E1,9.092482393E1,9.042193227E1
4.745920110E1,9.093326238E1,9.042549607E1
