"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.862880710E-1,2.456702376E1,-7.380239500E-1
1.386609954E0,2.458170515E1,-7.599254944E-1
1.886944674E0,2.456850975E1,-7.372640923E-1
2.387283285E0,2.458597649E1,-7.046095768E-1
2.887616902E0,2.457796299E1,-7.550791584E-1
3.387957652E0,2.456449418E1,-7.481896446E-1
3.888032226E0,2.456227971E1,-7.658211489E-1
4.388372576E0,2.457161075E1,-7.682253046E-1
4.888705532E0,2.456511285E1,-7.527154827E-1
5.389043477E0,2.456975319E1,-7.570538996E-1
5.889375654E0,2.456832100E1,-7.457218052E-1
6.389712036E0,2.458013593E1,-7.494735790E-1
6.890049019E0,2.457017662E1,-7.651380060E-1
7.390376872E0,2.458253474E1,-7.606419647E-1
7.890712785E0,2.457222408E1,-7.628420122E-1
8.391061159E0,2.457757734E1,-7.660439192E-1
8.891384115E0,2.457443241E1,-7.545105935E-1
9.391720066E0,2.457350006E1,-7.652186275E-1
9.892057277E0,2.456637655E1,-7.613947537E-1
1.039239222E1,2.460843507E1,-7.095599580E-1
1.089272724E1,2.461398560E1,-7.220946713E-1
1.089272724E1,2.461398560E1,-7.220946713E-1
1.209740107E1,2.449145945E1,-4.856100883E-1
1.259773128E1,2.451656874E1,-5.209964679E-1
1.309806456E1,2.449381190E1,-5.014141348E-1
1.359840350E1,2.451435033E1,-5.009516029E-1
1.409874219E1,2.451074734E1,-4.954815521E-1
1.459952505E1,2.451292412E1,-4.886254333E-1
1.509986080E1,2.450921994E1,-4.734623386E-1
1.560020001E1,2.450044876E1,-5.873274038E-1
1.610053836E1,2.449203359E1,-5.755669861E-1
1.660086697E1,2.451177959E1,-6.064935521E-1
1.710121353E1,2.451013648E1,-6.158275353E-1
1.760153831E1,2.450169583E1,-5.859426922E-1
1.810187683E1,2.449083586E1,-5.930745412E-1
1.860222191E1,2.449441376E1,-6.492923346E-1
1.910254915E1,2.448850720E1,-6.375248263E-1
1.960288760E1,2.449464590E1,-6.498905445E-1
2.010322104E1,2.448894363E1,-6.755288155E-1
2.060355492E1,2.450971295E1,-6.998787293E-1
2.110389287E1,2.450703325E1,-6.724431389E-1
2.160415186E1,2.449840030E1,-6.648000483E-1
2.210448881E1,2.451080257E1,-6.760048823E-1
2.260482232E1,2.451258761E1,-6.844500038E-1
2.310516000E1,2.452106344E1,-6.809844917E-1
2.310516000E1,2.452106344E1,-6.809844917E-1
2.310516000E1,2.452106344E1,-6.809844917E-1
2.419820140E1,2.452846873E1,-3.405145526E-1
2.469853676E1,2.452588968E1,-3.538563312E-1
2.519887399E1,2.451016431E1,-3.452489286E-1
2.569920889E1,2.450095102E1,-3.267910026E-1
2.619954662E1,2.451666421E1,-3.336267222E-1
2.669988152E1,2.451464746E1,-3.409067560E-1
2.720051134E1,2.451170218E1,-3.398188551E-1
2.770085571E1,2.451328279E1,-3.394424376E-1
2.820118280E1,2.449689225E1,-3.167875191E-1
2.870152060E1,2.449384977E1,-3.195246827E-1
2.920185519E1,2.449607002E1,-3.172613956E-1
2.970218956E1,2.449800438E1,-3.338087681E-1
3.020252676E1,2.451144132E1,-3.417029724E-1
3.070286402E1,2.450782997E1,-3.386533694E-1
3.120320229E1,2.450808147E1,-3.354862947E-1
3.170353205E1,2.450994046E1,-3.704298943E-1
3.220387352E1,2.451255900E1,-3.873572014E-1
3.270420262E1,2.451143942E1,-3.924677605E-1
3.320454136E1,2.451420868E1,-4.013356218E-1
3.370487749E1,2.451591531E1,-4.089483393E-1
3.420517602E1,2.450879826E1,-3.987325293E-1
3.470550936E1,2.450947539E1,-3.920635290E-1
3.520584729E1,2.450960095E1,-4.046539960E-1
3.570617349E1,2.450165088E1,-3.893124094E-1
3.620650909E1,2.451367561E1,-3.953686546E-1
3.620650909E1,2.451367561E1,-3.953686546E-1
3.620650909E1,2.451367561E1,-3.953686546E-1
3.745298190E1,2.452545062E1,-4.143227203E-1
3.795331211E1,2.451028636E1,-3.875783515E-1
3.845364793E1,2.449010640E1,-3.967780581E-1
3.895398244E1,2.452457688E1,-4.440379264E-1
3.945432589E1,2.452681459E1,-4.169885069E-1
3.995466694E1,2.451660280E1,-3.875052658E-1
4.045479162E1,2.451479828E1,-3.923399919E-1
4.095513337E1,2.452377456E1,-4.047943517E-1
4.145546221E1,2.452015296E1,-4.041103092E-1
4.195580092E1,2.452246613E1,-3.972491180E-1
4.245613440E1,2.452035029E1,-3.971302618E-1
4.295647851E1,2.451882768E1,-4.155064126E-1
4.345680402E1,2.452699234E1,-3.989582893E-1
4.395713991E1,2.452385074E1,-4.180777779E-1
4.445748169E1,2.452167968E1,-4.175762888E-1
4.495781191E1,2.451992551E1,-4.122209423E-1
4.545815111E1,2.451920871E1,-4.053016044E-1
4.595848720E1,2.452256951E1,-4.115535074E-1
4.645881814E1,2.452397774E1,-4.312703442E-1
4.695915434E1,2.452239866E1,-4.219322719E-1
4.745920110E1,2.450783298E1,-4.254960766E-1
